vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 325;150.921 km;ago-11;160 kW (218 CV);Automático;Gasolina;7,9;NL;185;€ 20.900;;;
BMW X1;157.000 km;jun-11;105 kW (143 CV);Automático;Diésel;5,2;Unknown;136;€ 9.000;;;
BMW 116;192.000 km;sep-12;85 kW (116 CV);Manual;Diésel;4,1;Unknown;109;€ 6.250;;;
BMW 320;225.000 km;nov-12;135 kW (184 CV);Automático;Gasolina;6,5;Unknown;152;€ 12.900;;;
BMW X6 M;116.432 km;oct-12;280 kW (381 CV);Automático;Diésel;7,7;DE;204;€ 28.990;;;
BMW 318;146.420 km;dic-11;105 kW (143 CV);Manual;Diésel;4,5;DE;120;€ 7.990;;;
BMW 745;159.000 km;jun-10;242 kW (329 CV);Automático;Diésel;6 l/;ES;-/- ;€ 16.950;;;
BMW X3;166.990 km;jul-12;135 kW (184 CV);Automático;Gasolina;7,5;NL;175;€ 21.949;;;
BMW 530;174.880 km;abr-12;200 kW (272 CV);Manual;Gasolina;7,9;DE;183;€ 11.991;;;
BMW 520;148.000 km;sep-12;135 kW (184 CV);Manual;Diésel;-/- ;ES;-/- ;€ 16.950;;;
BMW 640;119.691 km;sep-12;235 kW (320 CV);Automático;Gasolina;7,7;NL;183;€ 29.500;;;
BMW 320;235.000 km;jun-11;120 kW (163 CV);Manual;Diésel;4,7;BE;125;€ 5.750;;;
BMW 118;160.000 km;dic-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 6.000;;;
BMW 116;179.707 km;mar-12;100 kW (136 CV);Automático;Gasolina;5,6;NL;131;€ 10.950;;;
BMW X3;131.600 km;ene-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;147;€ 15.000;;;
BMW 525;177.000 km;dic-12;160 kW (218 CV);Automático;Diésel;5,6;IT;147;€ 17.900;;;
BMW X1;99.762 km;mar-11;100 kW (136 CV);Manual;Gasolina;8,2;BE;191;€ 10.950;;;
BMW X3;185.000 km;jun-12;135 kW (184 CV);Manual;Diésel;5,6;Unknown;149;€ 12.900;;;
BMW 640;143.500 km;ene-12;230 kW (313 CV);Automático;Diésel;5,7;AT;143;€ 28.990;;;
BMW X1;190.000 km;ene-11;105 kW (143 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 11.900;;;
BMW X3;208.600 km;mar-12;225 kW (306 CV);Automático;Gasolina;8,8;DE;204;€ 14.890;;;
BMW 120;99.900 km;sep-11;135 kW (184 CV);Automático;Diésel;4,4;IT;119;€ 10.900;;;
BMW 116;101.000 km;ago-12;100 kW (136 CV);Manual;Gasolina;5,4;Unknown;125;€ 10.000;;;
