vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Cayman;67.000 km;sep-13;239 kW (325 CV);Automático;Gasolina;8,2;Unknown;190;€ 51.981
Porsche 911;249.000 km;jul-14;257 kW (349 CV);Automático;Gasolina;9,2;DE;218;€ 51.900
Porsche Cayman;31.000 km;ago-14;250 kW (340 CV);Automático;Gasolina;8,2;Unknown;190;€ 69.340
Porsche 991;249.000 km;jul-14;257 kW (349 CV);Automático;Gasolina;9,2;DE;218;€ 51.900
Porsche 911;40.800 km;sep-14;383 kW (521 CV);Automático;Gasolina;-/- ;Unknown;-/- ;€ 132.900
Porsche 911;47.500 km;oct-15;294 kW (400 CV);Automático;Gasolina;9,2;BE;214;€ 137.500
Porsche Panamera;85.000 km;mar-14;221 kW (300 CV);Automático;Diésel;6,4;BE;169;€ 44.950
Porsche 991;79.000 km;dic-14;294 kW (400 CV);Automático;Gasolina;10 l;IT;235;€ 78.890
Porsche Macan;109.880 km;oct-15;184 kW (250 CV);Automático;Diésel;6,1;IT;159;€ 42.500
Porsche 991;35.671 km;may-13;294 kW (400 CV);Manual;Gasolina;9,7;DE;229;€ 79.800
Porsche Cayenne;116.796 km;may-15;220 kW (299 CV);Automático;Gasolina;9,9;DE;234;€ 39.990
Porsche Panamera;60.800 km;abr-14;221 kW (300 CV);Automático;Diésel;6,4;Unknown;169;€ 47.500
Porsche Cayenne;115.313 km;sep-15;- kW (- CV);Automático;Electro/Gasolina;3,3;NL;79 g;€ 42.999
Porsche Macan;153.000 km;dic-14;190 kW (258 CV);Automático;Diésel;6,3;IT;167;€ 45.900
Porsche Cayenne;198.000 km;nov-13;180 kW (245 CV);Automático;Diésel;7,2;DE;189;€ 22.990
Porsche Cayenne;98.000 km;mar-15;324 kW (441 CV);Automático;Gasolina;10 l;FR;234;€ 54.900
Porsche Panamera;112.149 km;feb-14;221 kW (300 CV);Automático;Diésel;6,5;IT;172;€ 43.000
Porsche 911;61.000 km;dic-13;294 kW (400 CV);Automático;Gasolina;9,1;Unknown;212;€ 79.500
Porsche 911;45.000 km;sep-14;294 kW (400 CV);Automático;Gasolina;9,1;Unknown;212;€ 88.000
Porsche Macan;78.860 km;jul-15;190 kW (258 CV);Automático;Diésel;-/- ;BE;158;€ 38.900
Porsche Panamera;106.009 km;oct-14;309 kW (420 CV);Automático;Gasolina;8,9;DE;211;€ 39.900
Porsche 991;235.000 km;mar-14;412 kW (560 CV);Automático;Gasolina;9,7;IT;227;€ 87.000
Porsche Cayenne;100.957 km;mar-13;309 kW (420 CV);Automático;Gasolina;10,7;DE;251;€ 34.999
Porsche Cayenne;128.000 km;jul-14;309 kW (420 CV);Automático;Gasolina;10,7;DE;254;€ 39.990
Porsche 911;35.000 km;jul-15;350 kW (476 CV);Automático;Gasolina;12,4;DE;294;€ 108.300
Porsche 911;7.400 km;abr-15;294 kW (400 CV);Automático;Gasolina;9,7;DE;230;€ 128.000
Porsche Cayenne;87.037 km;abr-13;309 kW (420 CV);Automático;Gasolina;10,7;DE;254;€ 39.999
Porsche Boxster;49.998 km;may-13;232 kW (315 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 54.870
Porsche 991;29.998 km;ago-14;350 kW (476 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 109.870
Porsche 991;57.000 km;jun-14;257 kW (349 CV);Automático;Gasolina;9,5;DE;225;€ 86.900
Porsche Cayenne;77.000 km;jun-14;281 kW (382 CV);Automático;Diésel;8,3;DE;218;€ 37.990
Porsche Cayenne;146.500 km;may-13;281 kW (382 CV);Automático;Diésel;8,3;DE;220;€ 29.999
Porsche Macan;148.500 km;jul-15;190 kW (258 CV);Automático;Diésel;6,3;DE;167;€ 39.900
Porsche Macan;32.850 km;jun-15;250 kW (340 CV);Automático;Gasolina;8,9;DE;209;€ 43.990
Porsche Macan;134.122 km;oct-15;190 kW (258 CV);Automático;Diésel;6,1;AT;161;€ 39.890
Porsche Cayenne;118.000 km;sep-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 33.500
Porsche Boxster;39.000 km;sep-15;195 kW (265 CV);Automático;Gasolina;7,7;ES;-/- ;€ 47.800
Porsche Panamera;100.000 km;mar-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 50.990
Porsche 991;59.400 km;abr-14;294 kW (400 CV);Manual;Gasolina;9,5;Unknown;223;€ 119.000
Porsche Panamera;38.890 km;jun-13;382 kW (519 CV);Automático;Gasolina;10,3;Unknown;242;€ 59.900
Porsche Macan;99.000 km;dic-14;190 kW (258 CV);Automático;Diésel;6,1;Unknown;159;€ 34.000
Porsche Panamera;150.154 km;jul-13;382 kW (519 CV);Automático;Gasolina;10,2;AT;-/- ;€ 56.990
Porsche Cayenne;108.137 km;ene-13;180 kW (245 CV);Automático;Diésel;7,2;BE;189;€ 29.999
Porsche Cayenne;87.700 km;ene-15;283 kW (385 CV);Automático;Diésel;8 l/;DE;212;€ 47.890
Porsche Panamera;73.399 km;sep-14;310 kW (421 CV);Automático;Gasolina;8,9;NL;208;€ 52.500
Porsche Macan;75.000 km;ene-15;190 kW (258 CV);Automático;Diésel;6,3;DE;167;€ 48.500
Porsche Macan;83.819 km;ene-15;250 kW (340 CV);Automático;Gasolina;9 l/;IT;212;€ 42.000
