vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Boxster;5.792 km;jul-19;220 kW (299 CV);Automático;Gasolina;7,9;ES;181;€ 72.900
Porsche Cayenne;10 km;nov-19;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;74 g;€ 89.000
Porsche Cayenne;100 km;dic-19;250 kW (340 CV);Automático;Gasolina;9,3;ES;212;€ 107.500
Porsche Boxster;13.495 km;oct-18;220 kW (299 CV);Automático;Gasolina;7,9;Unknown;180;€ 72.900
Porsche Panamera;19.998 km;feb-18;500 kW (680 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 147.900
Porsche Panamera;18.999 km;ago-18;340 kW (462 CV);Automático;Electro/Gasolina;2,9;ES;-/- ;€ 105.900
Porsche Panamera;8.500 km;ago-18;324 kW (441 CV);Automático;Gasolina;8,1;ES;-/- ;€ 109.900
Porsche 911;18.000 km;may-18;272 kW (370 CV);Manual;Gasolina;9,5;Unknown;215;€ 99.500
Porsche 992;5.600 km;may-19;331 kW (450 CV);Automático;Gasolina;9,8;ES;-/- ;€ 153.700
Porsche Macan;11.000 km;mar-19;260 kW (354 CV);Automático;Gasolina;8,9;Unknown;204;€ 84.000
Porsche Cayman;14.000 km;feb-19;269 kW (366 CV);Automático;Gasolina;8,5;ES;194;€ 74.900
Porsche Panamera;10 km;dic-19;243 kW (330 CV);Automático;Gasolina;7,7;ES;200;€ 123.500
Porsche Macan;41.000 km;abr-18;265 kW (360 CV);Automático;Gasolina;9,2;ES;215;€ 75.000
Porsche 911;60 km;ago-19;383 kW (521 CV);Automático;Gasolina;12,8;ES;291;€ 282.900
Porsche Cayman;18.000 km;jun-18;220 kW (299 CV);Automático;Gasolina;6,9;Unknown;158;€ 59.000
Porsche Panamera;10.000 km;mar-19;338 kW (460 CV);Automático;Gasolina;10,6;ES;242;€ 140.000
Porsche Panamera;9.000 km;ene-18;500 kW (680 CV);Automático;Electro/Gasolina;2,9;ES;66 g;€ 157.000
Porsche Cayenne;1.250 km;sep-19;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;72 g;€ 109.750
Porsche Panamera;18.500 km;abr-19;340 kW (462 CV);Automático;Electro/Gasolina;2,5;ES;56 g;€ 108.000
Porsche Cayenne;26.785 km;ago-19;250 kW (340 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 89.900
Porsche Macan;14.000 km;ene-19;180 kW (245 CV);Automático;Gasolina;8,1;Unknown;185;€ 60.000
Porsche Cayenne;1.500 km;jun-19;250 kW (340 CV);Automático;Gasolina;9,2;ES;205;€ 91.990
Porsche Panamera;7.000 km;jul-18;404 kW (549 CV);Automático;Gasolina;10,4;ES;238;€ 150.000
