vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;
BMW X6 M;108.000 km;jul-10;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 34.500;;
BMW 520;193.000 km;jun-10;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 9.300;;
BMW 330;228.000 km;nov-10;180 kW (245 CV);Manual;Diésel;5,7;Unknown;152;€ 14.499;;
BMW 118;243.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,3;Unknown;140;€ 6.900;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW 320;168.500 km;jun-10;125 kW (170 CV);Automático;Gasolina;6,8;Unknown;159;€ 9.500;;
BMW 320;188.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,8;Unknown;128;€ 7.990;;
BMW 118;169.999 km;ago-10;105 kW (143 CV);Manual;Diésel;4,7;Unknown;119;€ 6.600;;
BMW 320;173.500 km;jul-10;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 12.000;;
BMW 120;140.000 km;sep-10;130 kW (177 CV);Manual;Diésel;4,9;Unknown;125;€ 9.500;;
BMW X1;152.000 km;abr-10;130 kW (177 CV);Automático;Diésel;6,2;ES;-/- ;€ 12.900;;
BMW X1;79.500 km;feb-10;130 kW (177 CV);Automático;Diésel;6,2;ES;-/- ;€ 15.999;;
BMW 525;227.000 km;jun-10;150 kW (204 CV);Manual;Diésel;6,2;Unknown;162;€ 12.699;;
BMW 535;175.000 km;oct-10;230 kW (313 CV);Automático;Diésel;7,1;Unknown;187;€ 19.900;;
BMW X6;159.700 km;nov-10;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 26.500;;
BMW X1;86.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 12.500;;
BMW 320;92.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.500;;
BMW 320;121.500 km;oct-10;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 15.200;;
BMW 116;83.000 km;nov-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 9.900;;
BMW 320;225.412 km;mar-10;135 kW (184 CV);Manual;Diésel;5,6;Unknown;149;€ 12.299;;
BMW 120;222.648 km;feb-10;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 7.895;;
BMW X5;222.130 km;abr-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 14.990;;
BMW X1;150.066 km;jun-10;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 9.990;;
BMW Z4;89.000 km;may-10;150 kW (204 CV);Manual;Gasolina;8,5;ES;-/- ;€ 21.990;;
BMW 520;170.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 15.500;;
BMW X5;139.000 km;jun-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 18.900;;
BMW 330;159.000 km;jun-10;180 kW (245 CV);Automático;Diésel;6,4;ES;-/- ;€ 16.900;;
BMW 318;113.000 km;jun-10;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 11.000;;
BMW X6 M;129.000 km;dic-10;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 29.900;;
BMW X6 M;103.000 km;jun-10;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 36.900;;
BMW 325;125.000 km;nov-10;160 kW (218 CV);Manual;Gasolina;7,2;ES;-/- ;€ 19.000;;
BMW X6;59.000 km;jun-10;250 kW (340 CV);Automático;Diésel;6,2;ES;-/- ;€ 46.500;;
BMW 530;311.438 km;abr-10;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 13.900;;
BMW 325;170.000 km;jun-10;160 kW (218 CV);Manual;Gasolina;7,2;ES;-/- ;€ 12.999;;
BMW X1;85.915 km;may-10;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 13.000;;
BMW X5;173.899 km;jul-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 18.500;;
BMW 530;196.000 km;jun-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 15.900;;
BMW 530;196.000 km;jun-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 15.900;;
BMW 730;180.000 km;feb-10;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 14.999;;
BMW 330;210.000 km;jun-10;180 kW (245 CV);Manual;Diésel;6,1;ES;-/- ;€ 15.099;;
BMW X3;168.000 km;jun-10;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 13.400;;
BMW X1;170.000 km;jun-10;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 10.995;;
BMW 525;93.000 km;may-10;150 kW (204 CV);Automático;Diésel;6,1;ES;-/- ;€ 20.900;;
BMW 520;286.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.999;;
BMW 530;199.000 km;jun-10;180 kW (245 CV);Automático;Diésel;6,1;ES;-/- ;€ 14.990;;
BMW X1;220.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,7;ES;-/- ;€ 11.800;;
BMW 118;140.000 km;oct-10;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 8.990;;
BMW Active Hybrid X6;149.000 km;feb-10;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 33.500;;
BMW 525;260.001 km;may-10;145 kW (197 CV);Manual;Diésel;6,4;Unknown;171;€ 8.350;;
BMW 116;199.000 km;abr-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 6.900;;
BMW X5;139.000 km;jul-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 18.900;;
BMW 330;159.000 km;jun-10;180 kW (245 CV);Automático;Diésel;6,4;ES;-/- ;€ 16.900;;
BMW Z4;52.940 km;nov-10;150 kW (204 CV);Automático;Gasolina;8,2;ES;-/- ;€ 21.900;;
BMW 320;137.000 km;ene-10;130 kW (177 CV);Manual;Diésel;4,8;ES;-/- ;€ 12.900;;
BMW X1;126.000 km;sep-10;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 10.490;;
BMW X5;119.000 km;jun-10;408 kW (555 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 35.900;;
BMW 320;188.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,8;Unknown;128;€ 7.900;;
BMW 116;199.000 km;abr-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 6.900;;
BMW 318;153.209 km;abr-10;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 9.650;;
BMW Z4;142.206 km;abr-10;150 kW (204 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 18.300;;
BMW 318;153.209 km;abr-10;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 8.950;;
BMW Z4;142.206 km;abr-10;150 kW (204 CV);Manual;Gasolina;8,5;ES;-/- ;€ 17.300;;
BMW M3;178.700 km;may-10;309 kW (420 CV);Manual;Gasolina;12,4;Unknown;290;€ 23.000;;
BMW 325;227.000 km;ene-10;145 kW (197 CV);Manual;Diésel;5,9;Unknown;151;€ 9.990;;
BMW 525;185.000 km;may-10;150 kW (204 CV);Automático;Diésel;6,1;Unknown;160;€ 16.500;;
BMW 528;250.000 km;dic-10;190 kW (258 CV);Manual;Gasolina;7,8;ES;-/- ;€ 13.500;;
BMW X5;185.260 km;feb-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 16.900;;
BMW X5;185.260 km;abr-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 16.500;;
BMW 116;250.000 km;feb-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 5.900;;
BMW 120;190.000 km;jun-10;130 kW (177 CV);Manual;Diésel;4,8;Unknown;124;€ 9.500;;
BMW X3;135.000 km;may-10;130 kW (177 CV);Automático;Diésel;6,7;Unknown;178;€ 12.450;;
BMW 116;159.000 km;nov-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 9.500;;
BMW 730;180.000 km;oct-10;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 16.500;;
BMW 118;145.000 km;dic-10;105 kW (143 CV);Automático;Gasolina;6,6;Unknown;163;€ 12.000;;
BMW 118;130.851 km;ene-10;105 kW (143 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 7.800;;
BMW 528;112.000 km;may-10;190 kW (258 CV);Manual;Gasolina;7,8;ES;-/- ;€ 13.990;;
BMW X5;365.000 km;nov-10;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 14.000;;
BMW X6;193.000 km;ago-10;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 26.800;;
BMW X6;193.000 km;ago-10;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 26.800;;
BMW X5 M;285 km;nov-10;180 kW (245 CV);Automático;Diésel;7 l/;Unknown;-/- ;€ 15.500;;
BMW X1;154.000 km;nov-10;130 kW (177 CV);Manual;Diésel;5,3;Unknown;139;€ 13.950;;
BMW 520;126.500 km;oct-10;135 kW (184 CV);Automático;Diésel;5,2;Unknown;137;€ 12.500;;
BMW 520;230.000 km;sep-10;135 kW (184 CV);Automático;Diésel;5,2;Unknown;137;€ 12.500;;
BMW 520;260.000 km;sep-10;135 kW (184 CV);Automático;Diésel;5,2;Unknown;137;€ 12.000;;
BMW Z4;124.000 km;abr-10;150 kW (204 CV);Manual;Gasolina;8,5;Unknown;199;€ 17.990;;
BMW Z4;124.000 km;abr-10;150 kW (204 CV);Manual;Gasolina;8,5;Unknown;199;€ 17.990;;
BMW Z4;124.000 km;abr-10;150 kW (204 CV);Manual;Gasolina;8,5;Unknown;199;€ 17.990;;
BMW X5;189.000 km;ene-10;173 kW (235 CV);Automático;Diésel;8,2;ES;217;€ 17.950;;
BMW X1;210.000 km;ene-10;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 10.900;;
BMW X6;270.000 km;dic-10;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 19.000;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;
BMW 525;160.000 km;oct-10;150 kW (204 CV);Automático;Diésel;6,1;ES;-/- ;€ 15.990;;
BMW X6;140.000 km;ago-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 26.000;;
BMW 520;131.000 km;nov-10;141 kW (192 CV);Manual;Diésel;4,8;Unknown;125;€ 15.500;;
BMW 320;196.000 km;ene-10;130 kW (177 CV);Manual;Diésel;4,8;Unknown;125;€ 7.900;;
BMW 325;185.000 km;mar-10;150 kW (204 CV);Manual;Diésel;5,8;Unknown;153;€ 10.500;;
BMW 330;198.000 km;ago-10;180 kW (245 CV);Automático;Diésel;6,3;Unknown;165;€ 10.499;;
BMW 318;255.000 km;ene-10;105 kW (143 CV);Automático;Diésel;5,4;Unknown;142;€ 7.595;;
BMW 116;126.000 km;oct-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 8.000;;
BMW 320;211.000 km;oct-10;135 kW (184 CV);Automático;Diésel;5,8;Unknown;153;€ 9.200;;
BMW X1;109.188 km;nov-10;105 kW (143 CV);Manual;Diésel;5,7;ES;150;€ 13.590;;
BMW 318;182.500 km;sep-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;146;€ 9.800;;
BMW 118;270.000 km;ago-10;105 kW (143 CV);Manual;Diésel;4,7;Unknown;119;€ 6.500;;
BMW X1;227.000 km;ene-10;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 10.200;;
BMW 530;175.000 km;sep-10;180 kW (245 CV);Automático;Diésel;6,9;ES;-/- ;€ 16.900;;
BMW 318;231.000 km;may-10;105 kW (143 CV);Manual;Diésel;4,8;Unknown;125;€ 7.950;;
BMW 120;138.000 km;oct-10;130 kW (177 CV);Manual;Diésel;4,8;Unknown;124;€ 9.000;;
BMW X3;138.000 km;oct-10;130 kW (177 CV);Automático;Diésel;6,7;Unknown;178;€ 12.000;;
BMW 530;137.500 km;mar-10;173 kW (235 CV);Automático;Diésel;6,6;Unknown;176;€ 12.500;;
BMW X5;164.000 km;abr-10;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 20.990;;
BMW 320;160.000 km;jun-10;125 kW (170 CV);Manual;Gasolina;6,6;ES;154;€ 11.900;;
BMW 116;106.000 km;ene-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 9.500;;
BMW 118;135.000 km;ene-10;105 kW (143 CV);Manual;Diésel;4,7;Unknown;119;€ 8.500;;
BMW 325;121.000 km;oct-10;145 kW (197 CV);Manual;Diésel;5,7;Unknown;151;€ 11.500;;
BMW X1;155.000 km;ago-10;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 10.900;;
BMW M3;96.500 km;jun-10;309 kW (420 CV);Manual;Gasolina;12,4;ES;-/- ;€ 14.500;;
BMW Z4;35.000 km;may-10;150 kW (204 CV);Manual;Gasolina;8,5;Unknown;199;€ 20.000;;
BMW Z4;81.000 km;nov-10;225 kW (306 CV);Manual;Gasolina;9,4;Unknown;219;€ 27.000;;
BMW Z4;52.950 km;jul-10;250 kW (340 CV);Automático;Gasolina;9 l/;Unknown;210;€ 25.990;;
BMW X1;140.000 km;nov-10;130 kW (177 CV);Manual;Diésel;5,8;ES;-/- ;€ 15.300;;
BMW 730;160.500 km;jun-10;180 kW (245 CV);Automático;Diésel;7,2;ES;178;€ 19.000;;
BMW X1;115.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,7;ES;-/- ;€ 14.500;;
BMW 520;103.000 km;ago-10;135 kW (184 CV);Automático;Diésel;5,2;ES;137;€ 15.450;;
BMW X1;106.160 km;mar-10;130 kW (177 CV);Manual;Diésel;5,3;ES;139;€ 14.400;;
BMW X6;249.000 km;jun-10;225 kW (306 CV);Automático;Diésel;-/- ;ES;-/- ;€ 24.900;;
BMW 118;148.000 km;ago-10;105 kW (143 CV);Manual;Gasolina;5,9;Unknown;143;€ 9.200;;
BMW X5 M;122.000 km;jul-10;408 kW (555 CV);Automático;Gasolina;13,9;Unknown;325;€ 28.900;;
BMW 320;119.000 km;jun-10;135 kW (184 CV);Manual;Diésel;5,1;Unknown;135;€ 15.700;;
BMW 740;137.000 km;ene-10;225 kW (306 CV);Automático;Diésel;6,9;Unknown;181;€ 22.000;;
BMW 330;183.000 km;nov-10;180 kW (245 CV);Automático;Diésel;6,4;Unknown;170;€ 18.500;;
BMW 118;182.000 km;jul-10;105 kW (143 CV);Automático;Diésel;5,4;Unknown;140;€ 11.000;;
BMW 525;121.000 km;jun-10;150 kW (204 CV);Automático;Diésel;6,1;Unknown;160;€ 12.000;;
BMW X6;250.000 km;oct-10;210 kW (286 CV);Semiautomático;Diésel;8,3;Unknown;220;€ 16.300;;
BMW X1;170.000 km;dic-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;-/- ;€ 12.200;;
BMW Z4 M;5.184 km;ago-10;252 kW (343 CV);Manual;Gasolina;12,1;ES;292;€ 84.990;;
