vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 430;154.426 km;dic-15;190 kW (258 CV);Automático;Diésel;5,1;ES;134;€ 27.900
BMW 116;143.812 km;nov-15;85 kW (116 CV);Manual;Diésel;3,7;ES;97 g;€ 13.900
BMW 118;70.583 km;nov-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;104;€ 16.400
BMW 216;67.000 km;nov-15;85 kW (116 CV);Manual;Diésel;3,9;ES;104;€ 18.900
BMW 116;52.000 km;ago-15;85 kW (116 CV);Automático;Diésel;3,7;ES;97 g;€ 15.600
BMW 525;102.000 km;jun-15;160 kW (218 CV);Automático;Diésel;4,7;ES;-/- ;€ 23.000
BMW 420;13.000 km;jul-15;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 23.680
BMW 520;25.000 km;nov-15;140 kW (190 CV);Manual;Diésel;4,3;ES;-/- ;€ 21.680
BMW 320;75.000 km;abr-15;120 kW (163 CV);Manual;Diésel;4,3;ES;-/- ;€ 16.990
BMW 320;120.000 km;jun-15;140 kW (190 CV);Manual;Diésel;5 l/;ES;-/- ;€ 18.900
BMW 216;59.000 km;sep-15;85 kW (116 CV);Manual;Diésel;4 l/;Unknown;106;€ 13.500
BMW 320;85.000 km;nov-15;120 kW (163 CV);Manual;Diésel;4,3;ES;-/- ;€ 15.390
BMW 318;90.493 km;jun-15;110 kW (150 CV);Manual;Diésel;4,5;ES;-/- ;€ 13.990
BMW 320;90.000 km;dic-15;135 kW (184 CV);Automático;Diésel;4,9;ES;129;€ 23.900
BMW 218;114.954 km;dic-15;110 kW (150 CV);Automático;Diésel;-/- ;ES;-/- ;€ 17.500
BMW X6;119.150 km;ene-15;190 kW (258 CV);Automático;Diésel;6 l/;ES;-/- ;€ 36.900
BMW 218;130.000 km;abr-15;105 kW (143 CV);Manual;Diésel;4,3;Unknown;114;€ 19.500
BMW 525;83.200 km;dic-15;160 kW (218 CV);Automático;Diésel;5,1;Unknown;133;€ 23.500
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 220;44.662 km;jul-15;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 17.663
BMW X5;137.936 km;mar-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 25.140
BMW 318;160.000 km;jul-15;105 kW (143 CV);Automático;Diésel;4,7;Unknown;123;€ 21.000
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW X5;137.936 km;mar-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 25.140
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW X5;137.936 km;mar-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 25.140
BMW 420;138.125 km;may-15;135 kW (184 CV);Automático;Diésel;4,6;ES;-/- ;€ 18.990
BMW X1;149.000 km;dic-15;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 17.490
BMW X6;82.005 km;nov-15;190 kW (258 CV);Automático;Diésel;6 l/;ES;-/- ;€ 41.900
BMW;96.879 km;sep-15;140 kW (190 CV);Automático;Diésel;4 l/;ES;-/- ;€ 23.190
BMW 525;169.000 km;dic-15;160 kW (218 CV);Automático;Diésel;-/- ;ES;-/- ;€ 22.950
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 420;146.500 km;may-15;140 kW (190 CV);Automático;Diésel;4 l/;ES;-/- ;€ 19.490
BMW 318;159.990 km;feb-15;105 kW (143 CV);Automático;Diésel;4,8;ES;-/- ;€ 15.490
BMW 320;48.304 km;feb-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 18.890
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 220;44.662 km;jul-15;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 17.663
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 320;48.304 km;feb-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 18.890
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 14.393
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 14.393
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 520;191.100 km;sep-15;140 kW (190 CV);Automático;Diésel;4,5;ES;-/- ;€ 17.490
BMW 218;167.400 km;ago-15;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 12.850
BMW 116;62.500 km;dic-15;85 kW (116 CV);Manual;Diésel;4,1;ES;-/- ;€ 13.850
BMW 420;100.700 km;sep-15;140 kW (190 CV);Automático;Diésel;4,6;ES;-/- ;€ 21.500
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW X5;137.936 km;mar-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 25.140
BMW 118;80.524 km;feb-15;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 14.392
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.393
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 218;48.639 km;mar-15;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 14.393
BMW 218;99.890 km;sep-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 15.794
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 116;45.000 km;mar-15;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 13.900
BMW 520;129.000 km;nov-15;140 kW (190 CV);Manual;Diésel;4,6;ES;-/- ;€ 17.900
BMW 530;81.300 km;abr-15;190 kW (258 CV);Automático;Diésel;5,1;ES;-/- ;€ 23.900
BMW 320;128.600 km;nov-15;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 18.400
BMW X5;135.000 km;may-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 29.500
BMW 320;148.205 km;may-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.859
BMW 216;125.000 km;jun-15;85 kW (116 CV);Manual;Diésel;3,8;ES;-/- ;€ 13.500
BMW 320;280.000 km;abr-15;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.990
BMW 435;167.000 km;ago-15;230 kW (313 CV);Automático;Diésel;5,6;ES;-/- ;€ 22.900
BMW 520;103.000 km;jun-15;140 kW (190 CV);Automático;Diésel;4,6;ES;-/- ;€ 19.730
BMW X5;166.298 km;ene-15;160 kW (218 CV);Automático;Diésel;5,6;ES;-/- ;€ 22.900
BMW 218;89.156 km;abr-15;110 kW (150 CV);Automático;Diésel;4,1;ES;-/- ;€ 14.500
BMW X5;73.870 km;nov-15;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 30.900
