vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 116;25.000 km;feb-11;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 11.900;;;
BMW X1;103.000 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 11.750;;;
BMW 116;190.000 km;ago-11;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 9.500;;;
BMW X6;94.366 km;jul-11;180 kW (245 CV);Automático;Diésel;7,4;ES;195;€ 28.890;;;
BMW 330;129.000 km;ago-11;180 kW (245 CV);Automático;Diésel;6,2;ES;-/- ;€ 15.990;;;
BMW M3;37.000 km;ago-11;309 kW (420 CV);Manual;Gasolina;12,7;ES;-/- ;€ 34.900;;;
BMW X1;91.000 km;ene-11;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 16.890;;;
BMW X5;118.300 km;may-11;225 kW (306 CV);Automático;Diésel;7,5;ES;-/- ;€ 21.990;;;
BMW 116;95.000 km;nov-11;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 9.500;;;
BMW 116;165.000 km;abr-11;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 7.500;;;
BMW 530;321.154 km;dic-11;180 kW (245 CV);Manual;Diésel;6,3;ES;-/- ;€ 13.000;;;
BMW 535;153.000 km;may-11;220 kW (299 CV);Automático;Diésel;6,1;ES;162;€ 19.999;;;
BMW 535;153.000 km;may-11;220 kW (299 CV);Automático;Diésel;6,1;ES;162;€ 20.000;;;
BMW 730;420.000 km;oct-11;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 13.500;;;
BMW 318;137.000 km;abr-11;105 kW (143 CV);Manual;Diésel;5,4;Unknown;142;€ 8.499;;;
BMW 530;65.000 km;ene-11;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.490;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 320;201.000 km;abr-11;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 8.900;;;
