vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz ML 350;99.500 km;jul-14;190 kW (258 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 44.990
Mercedes-Benz C 350;95.019 km;nov-15;- kW (- CV);Automático;Electro/Gasolina;2,1;NL;49 g;€ 20.650
Mercedes-Benz Vito;78.365 km;oct-15;121 kW (165 CV);Manual;Diésel;5,7;NL;163;€ 14.950
Mercedes-Benz E 200;55.300 km;jul-13;135 kW (184 CV);Automático;Gasolina;6,1;DE;145;€ 18.400
Mercedes-Benz GLA 200;78.000 km;ene-15;100 kW (136 CV);Automático;Diésel;4,2;BE;119;€ 19.500
Mercedes-Benz A 200;52.000 km;jun-13;115 kW (156 CV);Manual;Gasolina;5,5;Unknown;128;€ 16.900
Mercedes-Benz C 180;63.500 km;sep-15;115 kW (156 CV);Manual;Gasolina;5,4;DE;125;€ 20.750
Mercedes-Benz E 200;75.500 km;abr-15;100 kW (136 CV);Manual;Diésel;4,6;DE;119;€ 19.990
Mercedes-Benz B 220;65.000 km;nov-14;130 kW (177 CV);Automático;Diésel;4,1;IT;107;€ 15.300
Mercedes-Benz CLA 200;46.680 km;jun-15;115 kW (156 CV);Automático;Gasolina;5,4;DE;122;€ 20.930
Mercedes-Benz CLS 350;135.000 km;abr-13;195 kW (265 CV);Automático;Diésel;-/- ;DE;-/- ;€ 26.650
Mercedes-Benz C 250;110.500 km;jun-15;150 kW (204 CV);Automático;Diésel;11,6;Unknown;296;€ 14.000
Mercedes-Benz E 200;72.528 km;ene-13;135 kW (184 CV);Automático;Gasolina;7 l/;DE;164;€ 21.900
Mercedes-Benz V 200;83.000 km;oct-15;100 kW (136 CV);Automático;Diésel;5,8;BE;152;€ 26.990
Mercedes-Benz C 180;69.000 km;ene-14;115 kW (156 CV);Manual;Gasolina;5,9;Unknown;139;€ 15.750
Mercedes-Benz C 220;107.000 km;ago-13;125 kW (170 CV);Automático;Diésel;6,1;DE;162;€ 11.990
Mercedes-Benz A 180;81.000 km;sep-13;90 kW (122 CV);Manual;Gasolina;5,5;BE;128;€ 15.900
Mercedes-Benz SLK 200;91.859 km;mar-13;135 kW (184 CV);Manual;Gasolina;6,8;DE;158;€ 16.888
Mercedes-Benz C 250;110.470 km;jun-15;150 kW (204 CV);Automático;Diésel;4,5;Unknown;117;€ 20.900
Mercedes-Benz S 350;77.000 km;oct-14;190 kW (258 CV);Semiautomático;Diésel;5,5;Unknown;146;€ 42.500
Mercedes-Benz E 200;99.000 km;ago-13;100 kW (136 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 17.990
Mercedes-Benz C 220;128.102 km;oct-15;125 kW (170 CV);Automático;Diésel;4,4;IT;114;€ 20.900
Mercedes-Benz Sprinter;158.981 km;mar-14;120 kW (163 CV);Manual;Diésel;-/- ;NL;-/- ;€ 13.000
Mercedes-Benz V 220;245.000 km;jun-14;120 kW (163 CV);Manual;Diésel;5,7;IT;149;€ 18.000
Mercedes-Benz CLS 250;124.000 km;abr-14;150 kW (204 CV);Automático;Diésel;5 l/;AT;133;€ 21.890
Mercedes-Benz B 220;69.900 km;ago-14;135 kW (184 CV);Automático;Gasolina;6,5;DE;154;€ 16.290
Mercedes-Benz C 220;112.075 km;jul-15;125 kW (170 CV);Manual;Diésel;4,3;DE;108;€ 17.270
Mercedes-Benz Vito;81.992 km;mar-14;70 kW (95 CV);Manual;Diésel;7,7;DE;204;€ 10.890
Mercedes-Benz Vito;145.000 km;oct-15;84 kW (114 CV);Manual;Diésel;-/- ;DE;-/- ;€ 15.999
Mercedes-Benz Citan;137.400 km;feb-15;66 kW (90 CV);Manual;Diésel;-/- ;DE;-/- ;€ 8.119
Mercedes-Benz Citan;116.400 km;feb-15;66 kW (90 CV);Manual;Diésel;-/- ;DE;-/- ;€ 7.539
Mercedes-Benz C 250;110.470 km;jun-15;150 kW (204 CV);Automático;Diésel;4,5;Unknown;117;€ 20.900
Mercedes-Benz GLA 250;62.000 km;dic-15;155 kW (211 CV);Automático;Gasolina;6,4;Unknown;150;€ 21.890
Mercedes-Benz E 220;133.200 km;abr-13;125 kW (170 CV);Automático;Diésel;5,4;DE;141;€ 14.949
Mercedes-Benz GLE 350;42.935 km;dic-15;190 kW (258 CV);Automático;Diésel;7,2;DE;187;€ 44.939
Mercedes-Benz C 350;86.176 km;ago-13;195 kW (265 CV);Automático;Diésel;6,2;DE;162;€ 19.989
Mercedes-Benz GLA 200;47.400 km;dic-15;115 kW (156 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 20.480
Mercedes-Benz C 63 AMG;42.700 km;abr-15;350 kW (476 CV);Automático;Gasolina;8,2;DE;192;€ 47.890
Mercedes-Benz C 250;80.000 km;ene-15;150 kW (204 CV);Automático;Diésel;4,8;IT;129;€ 21.800
Mercedes-Benz GLK 220;115.000 km;ene-13;125 kW (170 CV);Automático;Diésel;6,1;DE;162;€ 18.990
Mercedes-Benz C 350;99.550 km;dic-15;155 kW (211 CV);Automático;Gasolina;-/- ;Unknown;49 g;€ 25.500
Mercedes-Benz E 250;91.000 km;dic-13;150 kW (204 CV);Automático;Diésel;6,3;Unknown;164;€ 13.900
Mercedes-Benz ML 350;93.751 km;mar-14;225 kW (306 CV);Automático;Gasolina;8,5;NL;206;€ 36.450
Mercedes-Benz E 350;81.883 km;jul-13;185 kW (252 CV);Automático;Diésel;5 l/;NL;155;€ 22.945
Mercedes-Benz CLA 180;38.500 km;nov-15;90 kW (122 CV);Automático;Gasolina;5,8;DE;134;€ 18.500
Mercedes-Benz Sprinter;280.000 km;feb-14;120 kW (163 CV);Manual;Diésel;8,1;DE;213;€ 12.412
Mercedes-Benz Sprinter;280.000 km;feb-14;120 kW (163 CV);Manual;Diésel;8,1;DE;213;€ 12.412
Mercedes-Benz Sprinter;280.000 km;feb-14;120 kW (163 CV);Manual;Diésel;8,1;DE;213;€ 12.412
Mercedes-Benz B 200;77.581 km;feb-13;100 kW (136 CV);Automático;Diésel;4,2;DE;112;€ 13.450
Mercedes-Benz GLA 220;109.350 km;ago-15;125 kW (170 CV);Automático;Diésel;4,4;DE;115;€ 18.590
Mercedes-Benz CLS 63 AMG;111.253 km;feb-15;410 kW (557 CV);Automático;Gasolina;10,6;DE;248;€ 49.880
Mercedes-Benz CLA 220;131.640 km;sep-15;130 kW (177 CV);Automático;Diésel;4,2;DE;108;€ 19.549
Mercedes-Benz Vito;153.499 km;mar-15;84 kW (114 CV);Manual;Diésel;6,4;DE;169;€ 11.229
Mercedes-Benz Vito;153.499 km;mar-15;84 kW (114 CV);Manual;Diésel;6,4;DE;169;€ 11.229
Mercedes-Benz Vito;153.499 km;mar-15;84 kW (114 CV);Manual;Diésel;6,4;DE;169;€ 11.229
Mercedes-Benz Vito;153.499 km;mar-15;84 kW (114 CV);Manual;Diésel;6,4;DE;169;€ 11.229
Mercedes-Benz SLK 200;40.000 km;nov-14;135 kW (184 CV);Manual;Gasolina;6,4;Unknown;149;€ 12.000
Mercedes-Benz Sprinter;111.480 km;abr-14;120 kW (163 CV);Manual;Diésel;8 l/;DE;212;€ 14.999
Mercedes-Benz Sprinter;191.665 km;ago-15;95 kW (129 CV);Automático;Diésel;7,4;NL;-/- ;€ 13.950
Mercedes-Benz C 200;100.805 km;ene-13;100 kW (136 CV);Automático;Diésel;6,1;DE;162;€ 13.498
Mercedes-Benz B 200;28.600 km;oct-15;100 kW (136 CV);Automático;Diésel;5 l/;DE;130;€ 17.898
Mercedes-Benz C 220;62.543 km;may-15;125 kW (170 CV);Automático;Diésel;4,3;DE;114;€ 21.898
Mercedes-Benz GL 350;280.000 km;ene-13;190 kW (258 CV);Automático;Diésel;7,4;DE;196;€ 21.950
Mercedes-Benz 220;115.000 km;mar-14;125 kW (170 CV);Automático;Diésel;-/- ;FR;-/- ;€ 20.990
Mercedes-Benz C 220;131.600 km;dic-14;120 kW (163 CV);Automático;Diésel;4 l/;Unknown;106;€ 24.500
Mercedes-Benz ML 63 AMG;97.500 km;ago-14;386 kW (525 CV);Automático;Gasolina;11,8;DE;280;€ 42.900
Mercedes-Benz CLA 180;135.000 km;oct-15;80 kW (109 CV);Automático;Diésel;3,8;BE;100;€ 18.990
Mercedes-Benz C 180;156.000 km;ene-15;85 kW (116 CV);Manual;Diésel;3,8;Unknown;102;€ 16.500
Mercedes-Benz C 250;233.000 km;feb-14;150 kW (204 CV);Manual;Diésel;4,8;DE;125;€ 11.600
Mercedes-Benz V 250;115.000 km;jun-14;140 kW (190 CV);Automático;Diésel;6 l/;DE;159;€ 34.900
Mercedes-Benz Vito;191.945 km;ene-13;71 kW (97 CV);Manual;Diésel;7,7;NL;206;€ 7.495
Mercedes-Benz C 200;175.000 km;feb-13;100 kW (136 CV);Automático;Diésel;4,8;DE;127;€ 10.490
Mercedes-Benz GLA 200;102.800 km;feb-15;100 kW (136 CV);Automático;Diésel;4,2;Unknown;119;€ 18.700
Mercedes-Benz C 220;138.000 km;may-14;125 kW (170 CV);Automático;Diésel;4 l/;DE;110;€ 17.900
Mercedes-Benz ML 250;180.000 km;feb-15;150 kW (204 CV);Automático;Diésel;6,2;DE;154;€ 21.500
Mercedes-Benz GLC 250;179.000 km;nov-15;150 kW (204 CV);Automático;Diésel;5 l/;DE;129;€ 20.900
Mercedes-Benz B 220;185.000 km;dic-14;130 kW (177 CV);Automático;Diésel;4,1;DE;107;€ 11.900
Mercedes-Benz C 63 AMG;59.700 km;ago-15;350 kW (476 CV);Automático;Gasolina;8,2;DE;192;€ 44.700
Mercedes-Benz Sprinter;299.000 km;nov-13;120 kW (163 CV);Manual;Diésel;7,9;Unknown;208;€ 7.900
Mercedes-Benz Vito;177.549 km;jun-15;100 kW (136 CV);Automático;Diésel;-/- ;NL;154;€ 12.950
Mercedes-Benz C 200;79.000 km;may-15;100 kW (136 CV);Manual;Diésel;3,9;Unknown;101;€ 18.950
Mercedes-Benz ML 350;99.000 km;mar-14;190 kW (258 CV);Automático;Diésel;6,8;AT;180;€ 33.500
Mercedes-Benz ML 250;110.000 km;jun-14;150 kW (204 CV);Automático;Diésel;5,7;IT;163;€ 22.900
Mercedes-Benz ML 250;110.000 km;jun-14;150 kW (204 CV);Automático;Diésel;5,7;IT;163;€ 22.900
Mercedes-Benz CLS 350;210.000 km;mar-15;185 kW (252 CV);Automático;Diésel;-/- ;LU;179;€ 19.990
Mercedes-Benz S 350;86.565 km;abr-15;190 kW (258 CV);Automático;Diésel;5,5;BE;151;€ 43.990
Mercedes-Benz ML 350;185.000 km;jun-15;190 kW (258 CV);Automático;Diésel;6,8;DE;180;€ 29.550
