Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error;Country;Url
Audi;S8;2017;49568;519;Gasolina;44820;62754;-17934;Germany;https://www.autoscout24.es/anuncios/audi-s8-4-0-tfsi-quattro-s-tronic-ahk-pre-sense-matrix-gasolina-plateado-f0b67d2e-25fb-44a5-9498-bc57f79f4eab?cldtidx=1&cldtsrc=listPage
Porsche;Cayenne;2017;32400;441;Gasolina;69900;87613;-17713;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-gts-acc-bose-led-luft-panorama-sportchrono-gasolina-blanco-93bd60d0-4bd1-4043-9ea6-c72b64377b43?cldtidx=6&cldtsrc=listPage
Porsche;Cayenne;2017;79500;385;Diesel;44880;62532;-17652;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-s-diesel-kamera-abstand-20-pasm-diesel-gris-2629f0c2-0732-4411-9e43-369250c443ba?cldtidx=2&cldtsrc=listPage
Porsche;Macan;2015;73425;258;Diesel;30489;48037;-17548;Netherlands;https://www.autoscout24.es/anuncios/porsche-macan-3-0-d-s-diesel-negro-8447d0ad-c0ce-2f78-e053-0100007ff526?cldtidx=1&cldtsrc=listPage
Mercedes-Benz;E;2018;37710;286;Diesel;41890;59427;-17537;Germany;https://www.autoscout24.es/anuncios/mercedes-benz-e-350-d-avantgarde-distronic-comand-pano-360-autom-diesel-gris-9d65b87c-b782-4ec5-9e1a-9ecf795bef8d?cldtidx=3&cldtsrc=listPage
LandRover;DiscoverySport;2018;67894;179;Diesel;23990;41096;-17106;Germany;https://www.autoscout24.es/anuncios/land-rover-discovery-sport-discovery-4x4sport-se-navi-sitzh-pano-7-sitzer-diesel-rojo-d60eb776-1209-49bf-bc81-9809478b2d32?cldtidx=2&cldtsrc=listPage
Mercedes-Benz;GLE;2017;73200;367;Gasolina;44890;61966;-17076;Germany;https://www.autoscout24.es/anuncios/mercedes-benz-gle-43-amg-4matic-comand-360-led-airmatic-pdc-gasolina-negro-d258a760-a3e8-49c4-88bb-2e316372debd?cldtidx=8&cldtsrc=listPage
Porsche;Boxster;2018;6500;299;Gasolina;55900;72842;-16942;Belgium;https://www.autoscout24.es/anuncios/porsche-boxster-2-0-turbo-pdk-6-500km-gasolina-gris-d23a04ae-422d-5d29-e053-0100007f7e8a?cldtidx=1&cldtsrc=listPage
Porsche;Panamera;2017;82000;421;Diesel;69850;86499;-16649;Germany;https://www.autoscout24.es/anuncios/porsche-panamera-4s-diesel-approved-gar-20-turbo-spurhalte-pasm-diesel-negro-1fb42cd7-fc87-4328-bc1f-dbe39586875e?cldtidx=1&cldtsrc=listPage
BMW;Serie5;2017;30125;462;Gasolina;48900;65497;-16597;Germany;https://www.autoscout24.es/anuncios/bmw-550-m550-i-xdrive-ahk-soft-close-massage-hud-hk-acc-gasolina-negro-55ccc54b-9025-47d7-9423-8681ae74b9d1?cldtidx=2&cldtsrc=listPage
LandRover;RangeRoverVelar;2018;35000;300;Gasolina;45000;61052;-16052;Belgium;https://www.autoscout24.es/anuncios/land-rover-range-rover-velar-2-0-turbo-r-dynamic-s-gasolina-blanco-10aee4ad-efd9-a82c-e053-0100007f618d?cldtidx=2&cldtsrc=listPage
Porsche;Boxster;2017;26000;299;Gasolina;45000;60936;-15936;Italy;"https://www.autoscout24.es/anuncios/porsche-boxster-718-2-0-gasolina-amarillo-add3c7ad-d775-d174-e053-0100007fd338?cldtidx=3&amp;cldtsrc=listPage"
