Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error;Country;Url
LandRover;RangeRover;2013;144000;249;Diesel;23500;44433;-20933;Italy;https://www.autoscout24.es/anuncios/land-rover-range-rover-3-0-tdv6-hse-diesel-azul-b67bcfad-b9f5-8518-e053-0100007fb0de?cldtidx=3&cldtsrc=listPage
LandRover;DiscoverySport;2018;67894;179;Diesel;23990;41096;-17106;Germany;https://www.autoscout24.es/anuncios/land-rover-discovery-sport-discovery-4x4sport-se-navi-sitzh-pano-7-sitzer-diesel-rojo-d60eb776-1209-49bf-bc81-9809478b2d32?cldtidx=5&cldtsrc=listPage
LandRover;RangeRoverSport;2011;111790;510;Gasolina;21500;35293;-13793;Belgium;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-3-0-tdv6-autobiography-diesel-negro-5d9085a8-d1ff-936d-e053-0100007fdab9?cldtidx=4&cldtsrc=listPage
LandRover;Discovery;2015;179000;340;Gasolina;22500;36128;-13628;Germany;https://www.autoscout24.es/anuncios/land-rover-discovery-lr4-facelift-3-0-v6-supercharged-hse-7-sitze-gasolina-azul-84b13537-5443-490d-abf2-df423233fc4d?cldtidx=4&cldtsrc=listPage
Porsche;Cayenne;2012;203874;420;Gasolina;22980;34809;-11829;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-s-exterieur-paket-pdls-navi-rs-spyder-gasolina-negro-3c2c93df-0cc9-42dd-b913-59f13f73bd17?cldtidx=1&cldtsrc=listPage
BMW;Serie2;2017;15473;224;Electro/Gasolina;21950;33588;-11638;Germany;https://www.autoscout24.es/anuncios/bmw-225-xe-iperformance-active-tourer-advantage-hifi-electro-gasolina-negro-0b6ca7e1-fc01-47f9-a754-bca9a83e060d?cldtidx=13&cldtsrc=listPage
LandRover;RangeRoverSport;2010;91262;510;Gasolina;24980;36567;-11587;Germany;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-supercharged-ahk-navi-automatik-gasolina-gris-ec74b80c-f27c-4d22-bf1b-9d95ecfc0210?cldtidx=5&cldtsrc=listPage
Porsche;Cayenne;2011;148000;400;Gasolina;23850;35292;-11442;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-s-21-turbo-luft-sitzklima-sportabgas-kam-gasolina-marron-ee7fa08e-2ffb-4f2e-b061-b2f80443d3cc?cldtidx=13&cldtsrc=listPage
Porsche;Cayenne;2011;97000;290;Gasolina;21999;33094;-11095;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-3-6-leder-navi-xenon-kamera-top-97-tkm-gasolina-negro-227335c2-a1be-4b97-8ec9-f8f261ea1ae3?cldtidx=4&cldtsrc=listPage
Mercedes-Benz;C;2017;107653;204;Diesel;20190;31089;-10899;Germany;https://www.autoscout24.es/anuncios/mercedes-benz-c-250-c-250-d-t-9g-navi-led-shz-diesel-azul-26ddee03-ae0f-4dfd-b872-4ed563dc599c?cldtidx=3&cldtsrc=listPage
Mercedes-Benz;GLC;2017;135000;204;Diesel;24900;35173;-10273;Germany;https://www.autoscout24.es/anuncios/mercedes-benz-glc-250-d-comand-led-ahk-soundsystem1hand-diesel-negro-c4ef57a6-1384-4727-b52e-0a7d557b504b?cldtidx=4&cldtsrc=listPage
LandRover;RangeRoverSport;2012;168000;510;Gasolina;20990;31014;-10024;Belgium;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-5-0i-v8-autobiography-full-option-gasolina-negro-84ecb0ad-e74b-3c1b-e053-0100007f86e3?cldtidx=1&cldtsrc=listPage
Porsche;Cayenne;2012;199800;400;Gasolina;24900;34841;-9941;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-s-typ-92a-gasolina-marron-cea8e4bc-2c3c-4fbf-b160-1581c0a5b940?cldtidx=3&cldtsrc=listPage
BMW;X2;2018;36600;190;Diesel;23277;33154;-9877;Italy;https://www.autoscout24.es/anuncios/bmw-x2-xdrive20d-business-x-diesel-gris-7d0529ae-fcb7-4755-e053-0100007f8fca?cldtidx=1&cldtsrc=listPage
Porsche;Cayenne;2010;77900;290;Gasolina;21800;31332;-9532;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-erst-78tkm-touch-navi-niveau-el-heckkl-sd-gasolina-negro-8cb11b8a-15e1-4181-b300-7506543b6e8d?cldtidx=2&cldtsrc=listPage
Porsche;Cayenne;2012;194000;420;Gasolina;24990;34453;-9463;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-gts-4-8-v8-sport-design-brd-fahrzeug-gasolina-negro-4c160c21-2b9c-4ac0-a630-ec8fe01008a8?cldtidx=5&cldtsrc=listPage
LandRover;RangeRoverSport;2012;74193;256;Diesel;24950;34409;-9459;Germany;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-sdv6-hse-leder-navi-kamera-diesel-negro-2826fee3-4435-4976-98d0-28eaea0bfeaa?cldtidx=4&cldtsrc=listPage
Mercedes-Benz;E;2013;65800;265;Diesel;22440;31233;-8793;Germany;https://www.autoscout24.es/anuncios/mercedes-benz-e-350-cdi-airmatic-leder-led-schiebedach-kamera-diesel-gris-7a533035-08bb-4625-840c-a322a8a657f9?cldtidx=6&cldtsrc=listPage
