Brand,Model,Year,Km,Power,Fuel_type,Price
Porsche,Cayenne,2012,141703,245,Diesel,31600
Porsche,Cayenne,2012,66000,245,Diesel,37900
Porsche,Cayenne,2011,115000,245,Diesel,36500
Porsche,Panamera,2012,103169,430,Gasolina,59900
Porsche,Panamera,2011,99000,299,Gasolina,35999
Porsche,Panamera,2012,93800,299,Gasolina,39900
Porsche,Panamera,2010,134000,500,Gasolina,47900
Porsche,Cayenne,2011,115000,239,Diesel,34900
Porsche,Cayenne,2010,104000,239,Diesel,34000
Porsche,Cayenne,2011,124900,400,Gasolina,36900
Porsche,Cayenne,2011,110000,400,Gasolina,36900
Porsche,Cayenne,2011,218000,239,Diesel,27990
Porsche,Cayman,2012,115000,265,Gasolina,29900
Porsche,Cayenne,2011,88000,400,Gasolina,43900
Porsche,Cayenne,2011,96000,299,Gasolina,32999
Porsche,Panamera,2012,149000,250,Diesel,34999
Porsche,Panamera,2012,190000,400,Gasolina,34990
Porsche,Cayenne,2012,219000,245,Diesel,24499
Porsche,Cayenne,2012,105000,245,Diesel,37000
Porsche,Cayenne,2010,139000,500,Gasolina,38000
Porsche,Panamera,2010,108000,500,Gasolina,45000
Porsche,Panamera,2012,65252,250,Diesel,43990
Porsche,Panamera,2011,92400,420,Gasolina,43990
Porsche,Panamera,2011,70166,250,Diesel,44900
Porsche,Cayenne,2012,73000,245,Diesel,37900
Porsche,Panamera,2011,178000,400,Gasolina,33990
Porsche,Panamera,2011,139000,250,Diesel,36900
Porsche,Cayenne,2011,139999,245,Diesel,27900
Porsche,Cayenne,2011,185000,245,Diesel,26900
Porsche,Panamera,2012,242000,250,Diesel,28900
Porsche,Cayenne,2010,159000,239,Diesel,19990
Porsche,Cayenne,2010,110000,239,Diesel,20990
Porsche,Cayenne,2011,255000,245,Diesel,14500
Porsche,Panamera,2012,164000,250,Diesel,32900
Porsche,Panamera,2012,214500,430,Gasolina,37900
Porsche,Cayenne,2011,90000,245,Diesel,65000
Porsche,Cayenne,2011,171000,245,Diesel,35000
Porsche,Boxster,2011,78000,310,Gasolina,31700
Porsche,Cayenne,2011,214000,500,Gasolina,35999
Porsche,Panamera,2012,89000,430,Gasolina,50000
Porsche,Cayenne,2012,135000,245,Diesel,29999
Porsche,Cayenne,2010,175000,400,Gasolina,31995
Porsche,Panamera,2010,173508,400,Gasolina,32900
Porsche,Panamera,2010,124998,299,Gasolina,38990
Porsche,Panamera,2012,112050,400,Gasolina,39500
Porsche,Cayenne,2010,232237,551,Gasolina,22490
Porsche,Cayenne,2011,171500,245,Diesel,27000
Porsche,Cayenne,2012,130000,245,Diesel,38000
Porsche,Panamera,2012,176000,299,Gasolina,31000
Porsche,Panamera,2011,171000,379,Electro/Gasolina,31999
Porsche,Cayenne,2010,112000,400,Gasolina,30900
Porsche,Panamera,2012,44303,299,Gasolina,49000
Porsche,Cayenne,2012,94000,245,Diesel,39950
Porsche,Cayenne,2012,120000,245,Diesel,31200
Porsche,Boxster,2010,79400,256,Gasolina,29899
Porsche,Panamera,2012,66925,500,Gasolina,75900
Porsche,Cayenne,2012,127978,420,Gasolina,44900
