Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error
Mercedes-Benz;GLC;2017;41000;211;Gasolina;21500;41766;-20266
LandRover;RangeRover;2013;144000;249;Diesel;23500;43472;-19972
LandRover;DiscoverySport;2018;67894;179;Diesel;23990;40778;-16788
LandRover;RangeRoverSport;2014;57287;258;Diesel;24000;38986;-14986
LandRover;Discovery;2015;179000;340;Gasolina;22500;36484;-13984
LandRover;RangeRoverSport;2011;111790;510;Gasolina;21500;35136;-13636
Porsche;Cayenne;2012;203874;420;Gasolina;22290;34887;-12597
Porsche;Cayenne;2011;148000;400;Gasolina;23850;34883;-11033
Porsche;Cayenne;2011;97000;290;Gasolina;21999;32723;-10724
LandRover;RangeRover;2011;110000;313;Diesel;22900;33373;-10473
LandRover;RangeRoverSport;2010;91262;510;Gasolina;24980;35403;-10423
BMW;X2;2018;36600;190;Diesel;23277;33217;-9940
Porsche;Cayenne;2012;199800;400;Gasolina;24900;34787;-9887
Mercedes-Benz;C;2017;107653;204;Diesel;20190;30036;-9846
LandRover;RangeRoverSport;2012;168000;510;Gasolina;20990;30828;-9838
LandRover;RangeRoverSport;2012;74193;256;Diesel;24950;34714;-9764
Porsche;Cayenne;2010;77900;290;Gasolina;21800;31477;-9677
Mercedes-Benz;GLC;2017;135000;204;Diesel;24900;34306;-9406
BMW;Serie2;2017;15473;224;Electro/Gasolina;21950;31344;-9394
Porsche;Cayenne;2012;194000;420;Gasolina;24990;34312;-9322
BMW;X2;2018;36600;190;Diesel;23970;33217;-9247
BMW;Serie5;2014;70024;258;Diesel;20980;30157;-9177
Mercedes-Benz;GL;2013;280000;258;Diesel;21950;30984;-9034
Mercedes-Benz;E;2011;61838;265;Diesel;20598;29297;-8699
Mercedes-Benz;E;2012;99899;408;Gasolina;23990;32396;-8406
