Brand,Model,Year,Km,Power,Fuel_type,Price
Mercedes-Benz,C,2011,199300,231,Diesel,9990
Mercedes-Benz,E,2010,261000,170,Diesel,6490
Mercedes-Benz,A,2012,189000,109,Diesel,10000
Mercedes-Benz,A,2011,105000,97,Gasolina,6490
Mercedes-Benz,A,2010,135000,95,Gasolina,4200
Mercedes-Benz,Viano,2011,170000,163,Diesel,15890
Mercedes-Benz,B,2012,280000,109,Diesel,5250
Mercedes-Benz,C,2011,186000,156,Gasolina,10999
Mercedes-Benz,C,2012,107000,170,Diesel,12999
Mercedes-Benz,A,2010,163812,109,Diesel,4900
Mercedes-Benz,B,2010,139900,95,Gasolina,8300
Mercedes-Benz,A,2011,74300,95,Gasolina,8900
Mercedes-Benz,E,2011,190500,204,Diesel,12510
Mercedes-Benz,B,2010,113000,193,Gasolina,6900
Mercedes-Benz,C,2012,97000,156,Gasolina,16000
Mercedes-Benz,C,2011,132429,156,Gasolina,13500
Mercedes-Benz,A,2010,128000,95,Gasolina,5590
Mercedes-Benz,C,2012,206000,170,Diesel,10250
Mercedes-Benz,C,2011,63000,170,Diesel,16700
Mercedes-Benz,E,2010,199000,170,Diesel,10900
Mercedes-Benz,E,2011,149000,204,Diesel,13500
Mercedes-Benz,E,2010,147000,170,Diesel,11990
Mercedes-Benz,S,2012,187657,258,Diesel,16900
Mercedes-Benz,SLK,2012,80500,184,Gasolina,17500
Mercedes-Benz,A,2011,150000,82,Diesel,4000
Mercedes-Benz,B,2012,142000,109,Diesel,8450
Mercedes-Benz,CLS,2012,102000,265,Diesel,21950
Mercedes-Benz,E,2012,129500,265,Diesel,18888
Mercedes-Benz,E,2010,77600,184,Gasolina,17500
Mercedes-Benz,C,2010,80000,184,Gasolina,11300
Mercedes-Benz,C,2011,248000,170,Diesel,8500
Mercedes-Benz,C,2011,160000,204,Diesel,11500
Mercedes-Benz,E,2012,122594,204,Diesel,18000
Mercedes-Benz,C,2012,230000,170,Diesel,9600
Mercedes-Benz,E,2012,122594,204,Diesel,18000
Mercedes-Benz,CLS,2011,171721,265,Diesel,23750
Mercedes-Benz,C,2010,61000,136,Diesel,10450
Mercedes-Benz,E,2012,216950,163,Diesel,11499
Mercedes-Benz,ML,2011,157900,231,Diesel,20490
Mercedes-Benz,C,2012,271000,231,Diesel,10500
Mercedes-Benz,GLK,2011,132000,204,Diesel,15800
Mercedes-Benz,C,2010,206000,170,Diesel,8100
Mercedes-Benz,E,2010,148000,231,Diesel,13800
Mercedes-Benz,A,2010,128000,95,Gasolina,4500
Mercedes-Benz,E,2011,75800,292,Gasolina,20800
Mercedes-Benz,E,2010,107547,170,Diesel,13990
Mercedes-Benz,B,2010,137300,116,Gas natural (CNG),7500
Mercedes-Benz,A,2012,135000,109,Diesel,16500
Mercedes-Benz,E,2011,43107,184,Gasolina,14750
Mercedes-Benz,GL,2012,284000,265,Diesel,17650
Mercedes-Benz,E,2011,340000,170,Diesel,11000
Mercedes-Benz,GLK,2012,145000,170,Diesel,13999
Mercedes-Benz,SLK,2012,85000,184,Gasolina,19500
Mercedes-Benz,A,2010,103873,95,Gasolina,7200
Mercedes-Benz,E,2010,357000,170,Diesel,5900
Mercedes-Benz,CLS,2010,169000,224,Diesel,13000
Mercedes-Benz,B,2012,30000,116,Gasolina,12000
Mercedes-Benz,C,2011,167500,170,Diesel,10750
Mercedes-Benz,B,2012,93896,122,Gasolina,9300
Mercedes-Benz,ML,2012,121000,204,Diesel,21500
Mercedes-Benz,A,2011,98000,116,Gasolina,6980
Mercedes-Benz,S,2011,189000,435,Gasolina,23900
Mercedes-Benz,SLK,2012,106000,204,Diesel,18000
Mercedes-Benz,B,2010,43000,95,Gasolina,8990
Mercedes-Benz,A,2010,133000,116,Gasolina,6700
Mercedes-Benz,C,2012,111000,170,Diesel,16900
Mercedes-Benz,Viano,2010,192000,224,Diesel,19999
Mercedes-Benz,A,2010,105000,95,Gasolina,4700
Mercedes-Benz,E,2011,292000,163,Diesel,8700
Mercedes-Benz,S,2010,152000,235,Diesel,15500
Mercedes-Benz,C,2012,196000,136,Diesel,11000
Mercedes-Benz,C,2010,270000,136,Diesel,4500
Mercedes-Benz,B,2012,160000,109,Diesel,10900
Mercedes-Benz,C,2011,145000,170,Diesel,8900
Mercedes-Benz,GL,2011,133000,265,Diesel,25610
Mercedes-Benz,GLK,2011,170000,143,Diesel,11600
Mercedes-Benz,C,2012,37600,156,Gasolina,15250
Mercedes-Benz,ML,2012,87000,306,Gasolina,25500
Mercedes-Benz,E,2012,194000,136,Diesel,12990
Mercedes-Benz,ML,2012,150000,306,Gasolina,29900
Mercedes-Benz,C,2011,128000,184,Gasolina,11500
Mercedes-Benz,GL,2011,139600,224,Diesel,19250
Mercedes-Benz,ML,2011,89050,231,Diesel,19500
Mercedes-Benz,B,2012,77500,122,Gasolina,11800
Mercedes-Benz,E,2010,200000,231,Diesel,11000
Mercedes-Benz,E,2012,153000,265,Diesel,20900
Mercedes-Benz,E,2011,200000,204,Diesel,11000
Mercedes-Benz,SLK,2011,96000,184,Gasolina,17500
Mercedes-Benz,A,2010,116000,95,Gasolina,5800
Mercedes-Benz,C,2011,91000,230,Gasolina,19995
Mercedes-Benz,C,2012,120000,190,Diesel,14250
Mercedes-Benz,A,2011,184000,109,Diesel,4500
Mercedes-Benz,E,2010,219000,204,Diesel,14000
Mercedes-Benz,E,2010,202000,136,Diesel,9800
Mercedes-Benz,GL,2011,130000,265,Diesel,24900
Mercedes-Benz,E,2011,20600,292,Gasolina,26300
Mercedes-Benz,GLK,2011,159000,170,Diesel,12200
Mercedes-Benz,GLK,2010,216000,170,Diesel,13990
Mercedes-Benz,GLK,2012,170000,170,Diesel,19900
Mercedes-Benz,E,2011,61000,170,Diesel,14444
Mercedes-Benz,B,2012,50500,156,Gasolina,14800
Mercedes-Benz,B,2012,65000,109,Diesel,10800
