vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Taycan;800 km;ene-20;560 kW (761 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 192.900
Porsche Macan;1.000 km;ene-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;204;€ 85.000
Porsche 911;100 km;may-20;515 kW (700 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 193.100
Porsche 911;10 km;jul-20;478 kW (650 CV);Automático;Gasolina;11,1;ES;-/- ;€ 275.000
Porsche Macan;5.000 km;feb-20;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 72.900
Porsche Macan;#¿NOMBRE?;-/- (Año);280 kW (381 CV);Automático;Gasolina;9,6;ES;-/- ;€ 90.354
Porsche Cayenne;#¿NOMBRE?;-/- (Año);324 kW (441 CV);Automático;Gasolina;9,3;ES;-/- ;€ 115.40
Porsche Cayenne;#¿NOMBRE?;-/- (Año);500 kW (680 CV);Automático;Electro/Gasolina;3,7;ES;-/- ;€ 177.04
Porsche Macan;#¿NOMBRE?;-/- (Año);324 kW (441 CV);Automático;Gasolina;9,8;ES;-/- ;€ 106.37
Porsche Panamera;#¿NOMBRE?;-/- (Año);243 kW (330 CV);Automático;Gasolina;7,8;ES;-/- ;€ 119.38
Porsche Panamera;#¿NOMBRE?;-/- (Año);340 kW (462 CV);Automático;Electro/Gasolina;2,9;ES;-/- ;€ 133.59
Porsche 991;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Automático;Gasolina;8,9;ES;-/- ;€ 158.19
Porsche Cayman;#¿NOMBRE?;-/- (Año);220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 76.270
Porsche Boxster;#¿NOMBRE?;-/- (Año);220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 68.346
Porsche Macan;3.250 km;feb-20;280 kW (381 CV);Automático;Gasolina;9,6;ES;-/- ;€ 99.900
Porsche Taycan;2.500 km;feb-20;390 kW (530 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 127.900
Porsche 911;63 km;-/- (Año);368 kW (500 CV);Automático;Gasolina;12,7;ES;288;€ 248.000
Porsche Cayenne;14.900 km;ene-20;500 kW (680 CV);Automático;Electro/Gasolina;3,7;ES;-/- ;€ 178.900
Porsche Macan;26.000 km;mar-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 82.900
Porsche Taycan;1.500 km;mar-20;500 kW (680 CV);-/- (Cambio);Eléctrico;-/- ;ES;0 g ;€ 155.900
Porsche Macan;1.500 km;jul-20;180 kW (245 CV);Automático;Gasolina;8,1;ES;185;€ 78.500
Porsche Cayenne;900 km;abr-20;324 kW (441 CV);Automático;Gasolina;9,3;ES;212;€ 136.900
Porsche Cayman;2.700 km;ene-20;220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 74.900
Porsche Cayenne;5.500 km;ene-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 102.900
