vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Range Rover Evoque;118.000 km;mar-16;132 kW (179 CV);Automático;Diésel;5,1;ES;-/- ;€ 22.900
Land Rover Range Rover Evoque;61.568 km;mar-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 24.900
Land Rover Discovery Sport;45.072 km;oct-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 21.308
Land Rover Range Rover Evoque;94.358 km;mar-16;110 kW (150 CV);Manual;Diésel;5 l/;ES;-/- ;€ 19.990
Land Rover Discovery Sport;45.072 km;oct-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 21.308
Land Rover Range Rover Evoque;94.358 km;mar-16;110 kW (150 CV);Manual;Diésel;5 l/;ES;-/- ;€ 19.990
Land Rover Range Rover;35.910 km;feb-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 25.990
Land Rover Discovery Sport;152.812 km;mar-16;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 18.690
Land Rover Range Rover Sport;68.600 km;ene-16;249 kW (339 CV);Automático;Diésel;-/- ;ES;-/- ;€ 46.500
Land Rover Range Rover Evoque;78.400 km;feb-16;132 kW (179 CV);Automático;Diésel;-/- ;ES;-/- ;€ 27.850
Land Rover Discovery Sport;186.222 km;feb-16;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 19.000
Land Rover Range Rover Evoque;94.358 km;mar-16;110 kW (150 CV);Manual;Diésel;5 l/;ES;-/- ;€ 19.990
Land Rover Range Rover Evoque;64.600 km;feb-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 23.990
Land Rover Range Rover Sport;108.000 km;ago-16;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 40.900
Land Rover Range Rover Sport;126.000 km;dic-16;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 40.900
Land Rover Range Rover;46.000 km;jun-16;250 kW (340 CV);Automático;Diésel;8,4;Unknown;219;€ 66.999
Land Rover Range Rover Sport;54.150 km;nov-16;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;185;€ 49.450
Land Rover Range Rover;115.409 km;may-16;190 kW (258 CV);Automático;Diésel;-/- ;ES;-/- ;€ 34.500
Land Rover Range Rover;96.448 km;may-16;225 kW (306 CV);Automático;Diésel;-/- ;ES;-/- ;€ 38.500
Land Rover Discovery Sport;88.000 km;ene-16;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 23.900
Land Rover Discovery Sport;70.000 km;abr-16;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 25.990
Land Rover Range Rover Sport;158.000 km;sep-16;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 36.900
