vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW X5;75.000 km;mar-17;230 kW (313 CV);Automático;Diésel;6 l/;ES;157;€ 52.900
BMW X1;104.827 km;mar-17;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 22.500
BMW 318;159.531 km;mar-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;106;€ 18.900
BMW 318;132.431 km;mar-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;106;€ 18.900
BMW X6;98.500 km;sep-17;190 kW (258 CV);Automático;Diésel;6 l/;ES;157;€ 47.300
BMW X1;55.500 km;oct-17;110 kW (150 CV);Automático;Diésel;4,3;ES;114;€ 24.900
BMW 418;62.000 km;jun-17;110 kW (150 CV);Automático;Diésel;4,2;ES;110;€ 29.800
BMW X1;39.609 km;may-17;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 25.900
BMW X6;37.000 km;sep-17;190 kW (258 CV);Automático;Diésel;6 l/;ES;157;€ 52.900
BMW 216;105.128 km;mar-17;85 kW (116 CV);Manual;Diésel;3,8;ES;99 g;€ 15.500
BMW X1;110.617 km;feb-17;85 kW (116 CV);Manual;Diésel;3,9;ES;104;€ 19.900
BMW 118;53.000 km;feb-17;110 kW (150 CV);Manual;Diésel;4 l/;ES;104;€ 18.700
BMW 118;47.000 km;abr-17;110 kW (150 CV);Manual;Diésel;4,4;ES;-/- ;€ 20.500
BMW X1;74.000 km;nov-17;110 kW (150 CV);Automático;Diésel;4,3;Unknown;114;€ 22.600
BMW 435;123.700 km;ago-17;230 kW (313 CV);Automático;Diésel;5,4;ES;-/- ;€ 32.490
BMW X1;112.310 km;dic-17;140 kW (190 CV);Automático;Diésel;4,8;ES;-/- ;€ 29.900
BMW 520;561.839 km;ago-17;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 28.250
BMW 116;27.988 km;may-17;85 kW (116 CV);Manual;Diésel;4,2;ES;-/- ;€ 17.900
BMW 218;62.864 km;feb-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 26.600
BMW 420;22.567 km;jun-17;140 kW (190 CV);Automático;Diésel;4,4;ES;-/- ;€ 42.500
BMW 116;36.049 km;jun-17;85 kW (116 CV);Manual;Diésel;4,2;ES;-/- ;€ 17.400
BMW X5;31.500 km;jun-17;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 42.900
BMW 318;123.444 km;jun-17;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 17.000
BMW 320;24.798 km;jun-17;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 31.500
BMW 730;16.200 km;jun-17;195 kW (265 CV);Automático;Diésel;5,3;ES;-/- ;€ 52.700
BMW 520;80.000 km;ene-17;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 26.500
BMW X1;38.844 km;jun-17;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 25.000
BMW 116;93.914 km;may-17;85 kW (116 CV);Manual;Diésel;3,7;ES;97 g;€ 17.500
BMW X1;109.422 km;ago-17;110 kW (150 CV);Automático;Diésel;4,3;ES;114;€ 22.900
BMW 216;41.650 km;jul-17;85 kW (116 CV);Manual;Diésel;3,8;ES;99 g;€ 18.900
BMW X1;64.000 km;oct-17;110 kW (150 CV);Automático;Diésel;4,3;ES;114;€ 25.900
BMW 118;45.200 km;jun-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;104;€ 18.900
BMW X1;36.374 km;jul-17;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 26.900
BMW 318;27.649 km;ago-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 25.900
BMW 640;108.486 km;jun-17;230 kW (313 CV);Automático;Diésel;5,5;ES;-/- ;€ 40.000
BMW 640;108.486 km;jun-17;230 kW (313 CV);Automático;Diésel;5,5;ES;-/- ;€ 40.000
BMW 420;89.186 km;ene-17;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.454
BMW 218;21.196 km;sep-17;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 20.181
BMW 420;89.186 km;ene-17;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.454
BMW 420;73.000 km;ago-17;140 kW (190 CV);Automático;Diésel;4,4;Unknown;117;€ 30.000
BMW 420;89.186 km;ene-17;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.454
BMW 420;89.186 km;ene-17;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.454
BMW 640;108.486 km;jun-17;230 kW (313 CV);Automático;Diésel;5,5;ES;-/- ;€ 40.000
BMW 218;21.196 km;sep-17;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 20.181
BMW 216;102.477 km;ene-17;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 12.700
BMW X5;28.916 km;ago-17;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 48.900
BMW X3;29.000 km;jun-17;110 kW (150 CV);Automático;Diésel;5 l/;ES;-/- ;€ 26.500
BMW X1;49.961 km;jun-17;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 22.400
BMW 116;89.286 km;ene-17;85 kW (116 CV);Manual;Diésel;-/- ;ES;-/- ;€ 16.000
BMW X1;98.500 km;ene-17;110 kW (150 CV);Automático;Diésel;4,3;Unknown;114;€ 23.995
BMW 218;21.196 km;sep-17;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 20.181
BMW 640;108.486 km;jun-17;230 kW (313 CV);Automático;Diésel;5,5;ES;-/- ;€ 40.000
BMW 420;89.186 km;ene-17;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.454
BMW X1;59.700 km;mar-17;85 kW (116 CV);Manual;Diésel;4,9;ES;-/- ;€ 19.900
BMW 216;109.200 km;may-17;85 kW (116 CV);Manual;Diésel;3,9;ES;-/- ;€ 14.350
BMW 218;57.946 km;abr-17;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 19.999
BMW X1;59.700 km;mar-17;85 kW (116 CV);Manual;Diésel;4,9;ES;-/- ;€ 19.900
BMW 216;109.200 km;may-17;85 kW (116 CV);Manual;Diésel;3,9;ES;-/- ;€ 14.350
BMW 218;21.196 km;sep-17;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 20.181
BMW 420;25.425 km;feb-17;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 29.900
BMW 320;70.680 km;feb-17;140 kW (190 CV);Automático;Diésel;4 l/;ES;-/- ;€ 25.900
BMW 216;146.500 km;mar-17;85 kW (116 CV);Automático;Diésel;4 l/;ES;-/- ;€ 13.900
BMW 420;25.425 km;feb-17;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 29.900
BMW 318;191.000 km;may-17;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 13.000
BMW 420;25.425 km;feb-17;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 29.900
BMW 116;58.166 km;ene-17;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 14.500
BMW 420;25.425 km;feb-17;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 29.900
BMW 116;106.000 km;ene-17;85 kW (116 CV);Manual;Diésel;4,1;ES;-/- ;€ 12.050
BMW 318;83.066 km;jul-17;110 kW (150 CV);Manual;Diésel;4,5;ES;-/- ;€ 20.890
