vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A4 allroad;72.000 km;dic-16;140 kW (190 CV);Automático;Diésel;5,6;Unknown;149;€ 28.900
Audi A4 allroad;109.000 km;jul-16;160 kW (218 CV);Automático;Diésel;5,1;ES;137;€ 32.900
Audi Q3;101.000 km;ago-16;135 kW (184 CV);Automático;Diésel;5,2;ES;146;€ 21.900
Audi Q2;59.300 km;nov-16;140 kW (190 CV);Automático;Diésel;5,1;Unknown;132;€ 19.500
Audi A4;185.626 km;mar-16;110 kW (150 CV);Automático;Diésel;3,9;ES;-/- ;€ 16.700
Audi Q3;133.649 km;mar-16;110 kW (150 CV);Manual;Diésel;4,9;ES;-/- ;€ 16.900
Audi A6;117.317 km;mar-16;160 kW (218 CV);Automático;Diésel;4,4;ES;-/- ;€ 20.900
Audi Q5;66.200 km;mar-16;140 kW (190 CV);Manual;Diésel;5,6;ES;-/- ;€ 26.700
Audi Q3;75.000 km;jun-16;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 26.490
Audi A6;70.000 km;nov-16;235 kW (320 CV);Automático;Diésel;6,3;ES;-/- ;€ 46.890
Audi A3;157.892 km;jun-16;110 kW (150 CV);Manual;Diésel;4,1;ES;-/- ;€ 15.900
Audi A4;119.125 km;nov-16;140 kW (190 CV);Automático;Diésel;4,1;ES;-/- ;€ 18.400
Audi Q7;95.000 km;jun-16;200 kW (272 CV);Automático;Diésel;5,9;ES;-/- ;€ 40.000
Audi A3;52.700 km;jun-16;81 kW (110 CV);Manual;Diésel;4 l/;ES;-/- ;€ 16.400
Audi A5;90.000 km;ene-16;140 kW (190 CV);Automático;Diésel;4,6;ES;-/- ;€ 25.900
Audi A6;70.000 km;ene-16;140 kW (190 CV);Automático;Diésel;4,4;ES;-/- ;€ 19.500
Audi A1;91.000 km;mar-16;85 kW (116 CV);Manual;Diésel;3,7;ES;98 g;€ 12.400
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi Q5;32.348 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 26.075
Audi A6 allroad;117.996 km;sep-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.700
Audi A6 allroad;113.043 km;mar-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 26.074
Audi A6 allroad;129.502 km;jun-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.420
Audi A6 allroad;129.502 km;jun-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.420
Audi A5;76.959 km;jul-16;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 19.390
Audi A6 allroad;117.996 km;sep-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.700
Audi A6 allroad;117.996 km;sep-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.700
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi A6 allroad;117.996 km;sep-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.700
Audi A6 allroad;129.502 km;jun-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 25.420
Audi A3;177.106 km;abr-16;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 12.500
Audi Q3;105.947 km;abr-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 15.950
Audi A3;93.000 km;jun-16;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 18.900
Audi A3;63.500 km;mar-16;81 kW (110 CV);Automático;Diésel;3,8;ES;-/- ;€ 15.900
Audi Q3;53.000 km;sep-16;110 kW (150 CV);Manual;Diésel;4,6;ES;119;€ 20.900
Audi Q5;120.000 km;oct-16;110 kW (150 CV);Manual;Diésel;4,9;Unknown;129;€ 24.500
Audi A3;147.351 km;feb-16;81 kW (110 CV);Manual;Diésel;3,8;ES;-/- ;€ 11.790
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi A4;98.000 km;sep-16;140 kW (190 CV);Automático;Diésel;4,2;Unknown;109;€ 19.900
Audi Q5;107.184 km;jun-16;140 kW (190 CV);Automático;Diésel;5,6;ES;-/- ;€ 21.490
Audi A5;76.959 km;jul-16;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 19.390
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi Q7;132.100 km;ene-16;200 kW (272 CV);Automático;Diésel;5,7;ES;-/- ;€ 33.800
Audi Q5;107.184 km;jun-16;140 kW (190 CV);Automático;Diésel;5,6;ES;-/- ;€ 21.490
Audi A5;76.959 km;jul-16;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 19.390
Audi A5;131.366 km;abr-16;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 21.990
Audi A4;98.603 km;abr-16;110 kW (150 CV);Automático;Diésel;4,1;ES;-/- ;€ 18.790
Audi A4;123.598 km;ene-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 18.990
Audi Q5;32.348 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 26.075
Audi Q5;71.000 km;dic-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 25.490
Audi Q7;132.100 km;ene-16;200 kW (272 CV);Automático;Diésel;5,7;ES;-/- ;€ 33.800
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi Q5;32.348 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 26.075
Audi A6 allroad;113.043 km;mar-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 26.074
Audi Q5;32.348 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 26.075
Audi A6 allroad;105.026 km;abr-16;200 kW (272 CV);Automático;Diésel;5,6;ES;-/- ;€ 28.878
Audi A3;147.351 km;feb-16;81 kW (110 CV);Manual;Diésel;3,8;ES;-/- ;€ 11.790
Audi A7;118.000 km;jun-16;160 kW (218 CV);Automático;Diésel;5,3;ES;-/- ;€ 30.490
Audi A3;64.000 km;mar-16;110 kW (150 CV);Manual;Diésel;4,1;ES;-/- ;€ 18.990
Audi A5;53.490 km;oct-16;160 kW (218 CV);Automático;Diésel;4,7;ES;-/- ;€ 33.500
Audi A4;98.603 km;abr-16;110 kW (150 CV);Automático;Diésel;4,1;ES;-/- ;€ 18.790
Audi A5;131.366 km;abr-16;110 kW (150 CV);Automático;Diésel;4,6;ES;-/- ;€ 21.990
Audi A4;123.598 km;ene-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 18.990
Audi A4;101.200 km;mar-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 18.400
Audi A6;103.609 km;abr-16;110 kW (150 CV);Manual;Diésel;4,5;ES;-/- ;€ 18.900
Audi A3;48.600 km;may-16;81 kW (110 CV);Manual;Diésel;4,2;ES;-/- ;€ 16.900
Audi A6;100.521 km;ago-16;110 kW (150 CV);Automático;Diésel;-/- ;ES;-/- ;€ 19.500
Audi Q3;25.134 km;nov-16;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 22.700
Audi Q3;52.358 km;abr-16;110 kW (150 CV);Manual;Diésel;4,8;ES;-/- ;€ 18.990
Audi Q5;64.575 km;dic-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 27.500
Audi A4;79.000 km;jul-16;140 kW (190 CV);Automático;Diésel;4,1;ES;-/- ;€ 25.900
Audi A4 allroad;80.975 km;nov-16;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 28.900
Audi A3;122.141 km;jun-16;81 kW (110 CV);Manual;Diésel;3,8;ES;-/- ;€ 14.900
Audi Q3;105.770 km;jun-16;110 kW (150 CV);Manual;Diésel;4,6;ES;-/- ;€ 17.500
Audi Q3;117.708 km;jun-16;110 kW (150 CV);Manual;Diésel;4,6;ES;-/- ;€ 17.500
Audi Q3;126.502 km;jul-16;110 kW (150 CV);Manual;Diésel;4,8;ES;-/- ;€ 17.990
Audi Q5;17.000 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;-/- ;€ 31.900
Audi A3;105.893 km;abr-16;110 kW (150 CV);Automático;Diésel;4,7;ES;-/- ;€ 20.800
Audi A4;141.000 km;may-16;160 kW (218 CV);Automático;Diésel;4,4;ES;-/- ;€ 20.900
Audi A6 allroad;118.000 km;ene-16;160 kW (218 CV);Automático;Diésel;6 l/;ES;-/- ;€ 26.800
Audi A4;121.000 km;jun-16;110 kW (150 CV);Automático;Diésel;4,4;ES;-/- ;€ 19.500
Audi A6;126.000 km;ago-16;200 kW (272 CV);Automático;Diésel;5,3;ES;-/- ;€ 25.990
Audi Q5;17.000 km;nov-16;140 kW (190 CV);Automático;Diésel;5,7;ES;149;€ 31.900
Audi Q3;46.000 km;jun-16;110 kW (150 CV);Manual;Diésel;4,6;ES;-/- ;€ 20.850
Audi A4;81.000 km;abr-16;160 kW (218 CV);Automático;Diésel;4,4;ES;-/- ;€ 23.950
Audi A3;74.211 km;jun-16;81 kW (110 CV);Manual;Diésel;4 l/;ES;-/- ;€ 16.999
Audi A6;161.491 km;ene-16;235 kW (320 CV);Automático;Diésel;6,2;ES;-/- ;€ 26.999
Audi A5;49.990 km;mar-16;140 kW (190 CV);Automático;Diésel;5,1;ES;-/- ;€ 25.990
Audi A4;73.512 km;jun-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 17.900
Audi A6;94.616 km;feb-16;110 kW (150 CV);Manual;Diésel;4,4;ES;-/- ;€ 17.900
Audi A4;81.000 km;ene-16;110 kW (150 CV);Manual;Diésel;3,8;ES;-/- ;€ 18.890
