vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz GLC 220;110.000 km;jun-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 28.900
Mercedes-Benz GLA 220;50.000 km;mar-16;130 kW (177 CV);Automático;Diésel;4,8;ES;-/- ;€ 29.900
Mercedes-Benz B 200;35.000 km;ago-16;100 kW (136 CV);Automático;Diésel;4 l/;ES;-/- ;€ 21.900
Mercedes-Benz E 220;61.017 km;may-16;143 kW (194 CV);Automático;Diésel;3,9;ES;-/- ;€ 33.900
Mercedes-Benz;46.481 km;dic-16;100 kW (136 CV);Automático;Diésel;4,5;ES;-/- ;€ 21.890
Mercedes-Benz A 200;50.000 km;nov-16;100 kW (136 CV);Automático;Diésel;4,1;Unknown;108;€ 23.500
Mercedes-Benz CLA 200;36.000 km;mar-16;100 kW (136 CV);Automático;Diésel;4,1;ES;106;€ 23.900
Mercedes-Benz A 180;73.402 km;jun-16;80 kW (109 CV);Manual;Diésel;3,7;ES;-/- ;€ 16.290
Mercedes-Benz A 200;88.500 km;jun-16;100 kW (136 CV);Manual;Diésel;4,2;Unknown;109;€ 17.500
Mercedes-Benz GLA 200;137.193 km;mar-16;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 20.490
Mercedes-Benz GLC 220;117.022 km;ene-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 28.990
Mercedes-Benz GLE 250;45.000 km;sep-16;150 kW (204 CV);Automático;Diésel;5,6;ES;-/- ;€ 37.500
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz B 200;85.950 km;nov-16;100 kW (136 CV);Automático;Diésel;4 l/;ES;-/- ;€ 17.196
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz;99.000 km;ene-16;125 kW (170 CV);Automático;Diésel;-/- ;ES;-/- ;€ 27.490
Mercedes-Benz GLA 200;31.900 km;sep-16;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 26.990
Mercedes-Benz C 220;107.000 km;may-16;125 kW (170 CV);Automático;Diésel;-/- ;ES;-/- ;€ 24.490
Mercedes-Benz C 220;86.487 km;may-16;125 kW (170 CV);Automático;Diésel;4,6;ES;-/- ;€ 23.490
Mercedes-Benz GLC 220;71.015 km;jul-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 27.690
Mercedes-Benz GLE 250;36.824 km;nov-16;150 kW (204 CV);Automático;Diésel;5,9;ES;-/- ;€ 32.290
Mercedes-Benz GLC 220;139.000 km;jun-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;129;€ 28.900
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz C 220;86.487 km;may-16;125 kW (170 CV);Automático;Diésel;4,6;ES;-/- ;€ 23.490
Mercedes-Benz GLC 220;71.015 km;jul-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 27.690
Mercedes-Benz GLE 250;36.824 km;nov-16;150 kW (204 CV);Automático;Diésel;5,9;ES;-/- ;€ 32.290
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz B 200;85.950 km;nov-16;100 kW (136 CV);Automático;Diésel;4 l/;ES;-/- ;€ 17.196
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz;31.994 km;jun-16;130 kW (177 CV);Automático;Diésel;-/- ;ES;-/- ;€ 24.490
Mercedes-Benz GLA 200;53.041 km;jun-16;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.950
Mercedes-Benz V 220;85.887 km;abr-16;120 kW (163 CV);Automático;Diésel;5,7;ES;-/- ;€ 29.720
Mercedes-Benz C 220;39.462 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 22.383
Mercedes-Benz C 220;86.487 km;may-16;125 kW (170 CV);Automático;Diésel;4,6;ES;-/- ;€ 23.490
Mercedes-Benz GLC 220;71.015 km;jul-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 27.690
Mercedes-Benz GLE 250;36.824 km;nov-16;150 kW (204 CV);Automático;Diésel;5,9;ES;-/- ;€ 32.290
Mercedes-Benz Vito;163.000 km;jun-16;84 kW (114 CV);Manual;Diésel;6,4;ES;-/- ;€ 16.990
Mercedes-Benz GLA 200;81.264 km;feb-16;100 kW (136 CV);Manual;Diésel;4,2;ES;-/- ;€ 19.995
Mercedes-Benz A 200;87.740 km;ene-16;100 kW (136 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
