vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW 320;136.000 km;ene-13;135 kW (184 CV);Automático;Diésel;4,4;ES;-/- ;€ 14.390
BMW 320;169.990 km;jun-13;120 kW (163 CV);Automático;Diésel;4,3;ES;-/- ;€ 13.990
BMW 118;141.960 km;feb-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 9.490
BMW 318;150.000 km;feb-13;105 kW (143 CV);Automático;Diésel;4,4;Unknown;118;€ 17.200
BMW 520;97.517 km;jul-13;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 20.990
BMW 320;95.000 km;jul-13;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 19.995
BMW 135;79.000 km;oct-13;235 kW (320 CV);Automático;Gasolina;7,8;ES;182;€ 25.900
BMW 535;33.000 km;ago-13;230 kW (313 CV);Automático;Diésel;5,5;Unknown;144;€ 26.000
BMW 318;158.996 km;mar-13;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 18.900
BMW 318;158.996 km;mar-13;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 16.900
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW X1;94.934 km;may-13;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 14.500
BMW 320;137.235 km;feb-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW 135;80.000 km;abr-13;225 kW (306 CV);Automático;Gasolina;8,5;Unknown;198;€ 24.000
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW 116;94.000 km;jul-13;85 kW (116 CV);Automático;Diésel;-/- ;ES;-/- ;€ 12.990
BMW 525;120.000 km;ene-13;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 18.890
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW X5;112.000 km;abr-13;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 24.000
BMW 420;190.000 km;ago-13;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 18.500
BMW 320;139.990 km;ene-13;135 kW (184 CV);Automático;Diésel;4,4;ES;-/- ;€ 14.490
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
