vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi Q3;174.000 km;nov-12;130 kW (177 CV);Automático;Diésel;5,9;Unknown;156;€ 18.500;
Audi Q7;127.000 km;jun-12;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 23.300;
Audi Q5;164.500 km;feb-11;176 kW (239 CV);Automático;Diésel;7,5;Unknown;199;€ 22.900;
Audi Q7;235.000 km;nov-10;176 kW (239 CV);Automático;Diésel;8,9;Unknown;234;€ 16.900;
Audi A4;150.000 km;mar-12;130 kW (177 CV);Automático;Diésel;4,9;Unknown;129;€ 13.500;
Audi A4;220.000 km;ago-12;130 kW (177 CV);Automático;Diésel;4,9;Unknown;129;€ 8.700;
Audi TT;230.000 km;oct-10;155 kW (211 CV);Automático;Gasolina;7,2;Unknown;169;€ 10.500;
Audi A5;116.105 km;jun-12;130 kW (177 CV);Manual;Diésel;4,6;Unknown;120;€ 14.000;
Audi A3;135.000 km;nov-11;66 kW (90 CV);Manual;Diésel;4,7;Unknown;116;€ 8.250;
Audi S5;79.942 km;jun-11;245 kW (333 CV);Automático;Gasolina;9,7;Unknown;224;€ 22.500;
Audi A4;269.000 km;feb-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;135;€ 8.200;
Audi Q3;145.000 km;sep-12;103 kW (140 CV);Manual;Diésel;5,2;Unknown;137;€ 14.500;
Audi A5;84.000 km;feb-12;125 kW (170 CV);Manual;Gasolina;6,2;Unknown;143;€ 16.000;
Audi A5;164.840 km;feb-11;125 kW (170 CV);Manual;Diésel;5,1;Unknown;134;€ 11.900;
Audi A1;131.000 km;ago-10;77 kW (105 CV);Manual;Diésel;3,9;Unknown;99 g;€ 7.800;
Audi A4;195.000 km;feb-10;140 kW (190 CV);Automático;Diésel;6,5;Unknown;169;€ 8.900;
Audi A6;199.870 km;feb-11;176 kW (239 CV);Automático;Diésel;7,1;Unknown;189;€ 9.900;
Audi Q5;133.000 km;jun-12;176 kW (239 CV);Automático;Diésel;7,5;Unknown;199;€ 16.200;
Audi S3;143.000 km;nov-10;195 kW (265 CV);Manual;Gasolina;8,5;FR;198;€ 16.790;
Audi A6;215.000 km;ago-12;230 kW (313 CV);Automático;Diésel;6,3;Unknown;166;€ 15.999;
Audi A6;305.000 km;mar-12;150 kW (204 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 9.900;
Audi A3;100.000 km;oct-11;92 kW (125 CV);Manual;Gasolina;-/- ;Unknown;-/- ;€ 9.600;
Audi A5;164.119 km;oct-10;118 kW (160 CV);Manual;Gasolina;7,2;NL;169;€ 11.950;
Audi Q5;227.000 km;ene-10;105 kW (143 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 10.300;
Audi A5;165.000 km;jun-12;125 kW (170 CV);-/- (Cambio);Gasolina;5,9;Unknown;136;€ 13.500;
Audi A1;76.800 km;jul-12;90 kW (122 CV);Automático;Gasolina;5,3;Unknown;122;€ 9.950;
Audi A4;260.000 km;mar-12;105 kW (143 CV);Manual;Diésel;4,7;Unknown;124;€ 8.000;
Audi A3;125.200 km;jul-11;125 kW (170 CV);Manual;Diésel;5,2;Unknown;135;€ 10.990;
Audi A3;162.000 km;sep-12;103 kW (140 CV);Manual;Diésel;5 l/;IT;129;€ 10.500;
Audi QUATTRO;246.000 km;dic-10;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 9.999;
Audi A4;195.000 km;may-12;105 kW (143 CV);Manual;Diésel;4,7;Unknown;124;€ 10.000;
Audi Q5;144.000 km;jun-11;176 kW (239 CV);Automático;Diésel;7,5;Unknown;199;€ 15.500;
Audi A6;123.000 km;jun-11;120 kW (163 CV);Manual;Diésel;4,9;Unknown;129;€ 14.500;
Audi Q7;120.400 km;jul-12;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 15.990;
Audi A6;64.800 km;abr-11;180 kW (245 CV);Automático;Diésel;6 l/;Unknown;156;€ 24.390;
Audi A7;90.400 km;abr-11;150 kW (204 CV);Semiautomático;Gasolina;8 l/;Unknown;-/- ;€ 19.500;
Audi A5;72.650 km;may-10;155 kW (211 CV);Manual;Gasolina;6,8;Unknown;159;€ 14.100;
Audi A7;164.000 km;sep-11;180 kW (245 CV);Automático;Diésel;6 l/;Unknown;158;€ 21.500;
Audi S5;170.000 km;jun-10;260 kW (354 CV);Automático;Gasolina;10,8;Unknown;256;€ 18.900;
Audi A4;328.555 km;nov-11;100 kW (136 CV);Manual;Diésel;4,4;Unknown;115;€ 6.900;
Audi A4;188.000 km;nov-12;130 kW (177 CV);Manual;Diésel;5,3;Unknown;139;€ 9.800;
Audi A3;249.950 km;sep-11;77 kW (105 CV);Manual;Diésel;4,2;Unknown;112;€ 5.200;
Audi A6;200.003 km;ago-10;100 kW (136 CV);Automático;Diésel;5,9;Unknown;155;€ 8.900;
Audi A1;148.785 km;dic-10;63 kW (86 CV);Manual;Gasolina;5,1;NL;116;€ 7.250;
Audi A3;183.000 km;ago-12;110 kW (150 CV);Manual;Diésel;4,1;Unknown;106;€ 12.300;
Audi A6;158.791 km;ene-12;150 kW (204 CV);-/- (Cambio);Gasolina;7,4;Unknown;172;€ 16.500;
Audi A6;115.000 km;nov-11;180 kW (245 CV);Automático;Diésel;5,9;Unknown;156;€ 18.500;
Audi A6;252.000 km;jul-10;140 kW (190 CV);Automático;Diésel;7,1;Unknown;189;€ 9.899;
Audi A3;165.000 km;jun-10;118 kW (160 CV);Manual;Gasolina;6,6;Unknown;153;€ 8.900;
Audi A1;190.000 km;ago-10;77 kW (105 CV);Manual;Diésel;3,8;DE;99 g;€ 5.000;
Audi A3;350.000 km;may-12;66 kW (90 CV);Manual;Diésel;4,5;DE;119;€ 5.000;
Audi A6;190.000 km;may-12;230 kW (313 CV);Automático;Diésel;6,4;DE;170;€ 17.999;
Audi A6;249.000 km;sep-11;176 kW (239 CV);Manual;Diésel;7,2;DE;189;€ 7.999;
Audi A1;195.000 km;abr-11;77 kW (105 CV);Manual;Diésel;3,9;Unknown;99 g;€ 7.500;
Audi A6;234.000 km;abr-10;100 kW (136 CV);Manual;Diésel;5,3;Unknown;180;€ 8.900;
Audi A1;200.000 km;dic-12;66 kW (90 CV);Automático;Diésel;4,2;DE;110;€ 6.950;
Audi A3;110.000 km;may-10;75 kW (102 CV);Manual;Gasolina;6,9;Unknown;164;€ 7.499;
Audi Q5;82.000 km;dic-10;132 kW (179 CV);Manual;Gasolina;-/- ;IT;-/- ;€ 12.900;
Audi A1;133.000 km;feb-11;90 kW (122 CV);Manual;Gasolina;5,3;BE;124;€ 9.690;
Audi A6;161.000 km;jul-12;130 kW (177 CV);Automático;Diésel;5,1;Unknown;135;€ 14.900;
Audi A4 allroad;161.000 km;feb-11;125 kW (170 CV);Manual;Diésel;6,2;IT;164;€ 10.990;
Audi A3;125.000 km;sep-11;77 kW (105 CV);Automático;Diésel;4,3;DE;112;€ 6.999;
Audi TT RS;88.561 km;jul-11;250 kW (340 CV);Manual;Gasolina;8,5;FR;197;€ 32.990;
Audi A3;149.955 km;abr-12;77 kW (105 CV);Automático;Diésel;4,3;BE;112;€ 12.000;
Audi Q3;139.900 km;nov-12;104 kW (141 CV);Manual;Diésel;-/- ;FR;137;€ 13.490;
Audi A1;118.482 km;oct-11;90 kW (122 CV);Manual;Gasolina;-/- ;IT;-/- ;€ 7.800;
Audi Q5;148.442 km;mar-11;155 kW (211 CV);Automático;Gasolina;8,6;IT;199;€ 15.800;
Audi A1;85.000 km;jun-11;77 kW (105 CV);Manual;Diésel;3,8;DE;101;€ 7.790;
Audi Q3;87.916 km;dic-11;125 kW (170 CV);Manual;Gasolina;7,3;DE;173;€ 13.750;
Audi A4;200.000 km;oct-10;118 kW (160 CV);Manual;Gasolina;7,2;DE;171;€ 6.650;
Audi A4;132.000 km;jul-12;150 kW (204 CV);Automático;Diésel;5,1;DE;135;€ 15.700;
Audi A3;58.955 km;ene-10;75 kW (102 CV);Automático;Gasolina;6,7;DE;159;€ 8.950;
Audi A5;179.000 km;jun-11;155 kW (211 CV);Manual;Gasolina;6,8;DE;159;€ 10.990;
Audi A3;115.247 km;may-10;75 kW (102 CV);Manual;Gasolina;6,8;DE;161;€ 6.400;
Audi A4;85.000 km;abr-11;118 kW (160 CV);Manual;Gasolina;7,1;DE;168;€ 8.888;
Audi A4;54.500 km;feb-12;125 kW (170 CV);Automático;Gasolina;5,7;DE;135;€ 15.345;
Audi A4;247.173 km;may-11;125 kW (170 CV);Manual;Diésel;5,5;DE;146;€ 7.990;
Audi A3;113.521 km;nov-11;77 kW (105 CV);Manual;Gasolina;5,5;DE;127;€ 8.950;
Audi A1;160.000 km;mar-11;90 kW (122 CV);Manual;Gasolina;5,3;DE;126;€ 6.900;
Audi A6;207.400 km;dic-11;150 kW (204 CV);Automático;Diésel;5,3;DE;140;€ 13.950;
Audi A3;169.000 km;may-11;92 kW (125 CV);Manual;Gasolina;5,7;DE;135;€ 5.990;
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450;
Audi A4 allroad;113.702 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;ES;-/- ;€ 16.900;
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900;
Audi A1;118.600 km;feb-11;90 kW (122 CV);Automático;Gasolina;5,3;DE;126;€ 8.600;
Audi Q5;127.000 km;abr-11;125 kW (170 CV);Automático;Diésel;6,8;DE;179;€ 13.700;
Audi A3;137.000 km;oct-10;92 kW (125 CV);Manual;Gasolina;6,1;DE;145;€ 7.790;
Audi A6;119.839 km;jun-12;130 kW (177 CV);Manual;Diésel;5 l/;DE;133;€ 12.999;
Audi A4;208.000 km;nov-12;105 kW (143 CV);Manual;Diésel;4,7;DE;125;€ 8.990;
Audi A6;215.000 km;jun-10;100 kW (136 CV);Automático;Diésel;5,8;Unknown;151;€ 8.250;
Audi A6;55.046 km;jun-12;150 kW (204 CV);Automático;Gasolina;-/- ;DE;187;€ 20.880;
Audi Q3;119.800 km;nov-12;130 kW (177 CV);Automático;Diésel;5,9;DE;156;€ 13.980;
Audi A4 allroad;113.702 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;ES;-/- ;€ 16.900;
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900;
Audi A3;74.306 km;mar-10;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.800;
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900;
Audi A1;60.506 km;nov-12;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 10.300;
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600;
Audi A7;56.376 km;ene-12;150 kW (204 CV);Automático;Gasolina;8 l/;ES;-/- ;€ 23.800;
Audi TT;132.740 km;ago-11;155 kW (211 CV);Automático;Gasolina;7,4;Unknown;172;€ 9.100;
Audi A1;121.890 km;sep-12;63 kW (86 CV);Manual;Gasolina;5,1;NL;118;€ 10.950;
Audi A6;200.000 km;ago-12;100 kW (136 CV);Manual;Diésel;4,9;Unknown;129;€ 10.700;
Audi TT RS;89.000 km;sep-12;250 kW (340 CV);-/- (Cambio);Gasolina;-/- ;Unknown;-/- ;€ 28.500;
Audi R8;49.082 km;feb-10;309 kW (420 CV);Automático;Gasolina;13,6;ES;-/- ;€ 49.500;
Audi A6;158.000 km;nov-11;150 kW (204 CV);Automático;Diésel;5,5;Unknown;149;€ 18.900;
Audi A5;240.000 km;ago-11;125 kW (170 CV);Manual;Diésel;5,1;Unknown;137;€ 10.999;
Audi Q3;138.500 km;mar-12;103 kW (140 CV);Manual;Diésel;5,2;Unknown;137;€ 13.900;
Audi A7;210.970 km;jun-11;180 kW (245 CV);Automático;Diésel;6 l/;ES;-/- ;€ 20.400;
Audi A5;184.000 km;may-11;120 kW (163 CV);Manual;Diésel;-/- ;FR;-/- ;€ 11.990;
Audi A5;167.000 km;ene-10;176 kW (239 CV);Automático;Diésel;-/- ;FR;-/- ;€ 15.990;
Audi A1;98.500 km;jun-11;63 kW (86 CV);Manual;Gasolina;-/- ;FR;-/- ;€ 8.990;
Audi A1;127.978 km;nov-10;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 7.950;
Audi A6 allroad;271.900 km;jun-12;180 kW (245 CV);Manual;-/- (Combustible);-/- ;FR;-/- ;€ 14.990;
Audi A4;109.000 km;abr-12;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 15.000;
Audi A3;203.000 km;nov-10;100 kW (136 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 5.800;
Audi A4;186.000 km;jul-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;135;€ 7.300;
Audi A3;138.000 km;oct-11;77 kW (105 CV);Manual;Diésel;4,2;Unknown;112;€ 8.000;
Audi A3;161.000 km;sep-12;77 kW (105 CV);Manual;Diésel;4,2;Unknown;112;€ 9.750;
Audi Q5;129.929 km;ene-10;176 kW (239 CV);Automático;Diésel;7,5;DE;199;€ 17.700;
Audi A7;139.869 km;nov-11;180 kW (245 CV);Semiautomático;Diésel;6 l/;Unknown;158;€ 23.500;
Audi A5;97.000 km;ago-12;130 kW (177 CV);Manual;Diésel;5,1;Unknown;134;€ 15.000;
Audi A6;109.000 km;jul-12;150 kW (204 CV);Automático;Diésel;5,3;Unknown;139;€ 16.300;
Audi A1;140.000 km;feb-11;63 kW (86 CV);Manual;Gasolina;5,1;IT;118;€ 6.900;
Audi A3;158.000 km;nov-11;118 kW (160 CV);Manual;Gasolina;6,6;Unknown;153;€ 4.000;
Audi A6;85.000 km;mar-12;230 kW (313 CV);Automático;Diésel;6,4;Unknown;169;€ 20.990;
Audi A7;160.000 km;jun-12;180 kW (245 CV);Semiautomático;Diésel;6 l/;Unknown;158;€ 19.500;
Audi A5;152.000 km;ago-11;118 kW (160 CV);Manual;Gasolina;7,1;Unknown;164;€ 9.850;
Audi S3;111.000 km;ago-12;195 kW (265 CV);Automático;Gasolina;8,4;Unknown;195;€ 18.560;
Audi A5;226.000 km;nov-10;125 kW (170 CV);Manual;Diésel;5,4;Unknown;147;€ 12.900;
Audi Q3;152.000 km;jul-12;103 kW (140 CV);Manual;Diésel;5,2;Unknown;137;€ 15.000;
Audi A1;118.000 km;dic-11;77 kW (105 CV);Manual;Diésel;3,9;Unknown;99 g;€ 8.800;
Audi A4;197.500 km;abr-12;105 kW (143 CV);Manual;Diésel;4,7;Unknown;124;€ 9.499;
Audi Q5;230.000 km;may-10;105 kW (143 CV);Automático;Diésel;6,2;Unknown;162;€ 10.900;
Audi A3;168.660 km;sep-12;77 kW (105 CV);Manual;Gasolina;5,5;Unknown;127;€ 8.850;
Audi Q3;98.500 km;may-12;100 kW (136 CV);Manual;Diésel;5,2;Unknown;137;€ 12.500;
Audi Q5;109.000 km;may-10;125 kW (170 CV);Semiautomático;Diésel;6,8;Unknown;179;€ 12.000;
Audi A4;165.349 km;oct-12;100 kW (136 CV);Manual;Diésel;4,6;Unknown;120;€ 14.700;
Audi A4;217.700 km;feb-11;100 kW (136 CV);Manual;Diésel;4,4;Unknown;115;€ 8.250;
Audi A3;143.000 km;feb-12;103 kW (140 CV);Manual;Diésel;4,4;Unknown;115;€ 9.980;
Audi A3;129.000 km;oct-12;103 kW (140 CV);Manual;Diésel;4,7;Unknown;115;€ 10.500;
Audi A3;131.857 km;jul-12;77 kW (105 CV);Manual;Gasolina;5,5;Unknown;127;€ 8.350;
Audi A3;241.915 km;jul-11;92 kW (125 CV);Automático;Gasolina;5,5;NL;127;€ 7.980;
Audi A4;187.500 km;abr-10;118 kW (160 CV);Automático;Gasolina;7,6;DE;179;€ 4.980;
Audi A6;191.000 km;mar-12;100 kW (136 CV);Manual;Diésel;5,3;Unknown;180;€ 12.800;
Audi A3;140.400 km;may-12;77 kW (105 CV);Manual;Diésel;4,2;Unknown;112;€ 9.600;
Audi A1;109.980 km;mar-12;66 kW (90 CV);Manual;Diésel;3,9;AT;99 g;€ 8.790;
Audi A6;138.101 km;dic-12;150 kW (204 CV);Automático;Diésel;5,8;AT;152;€ 20.990;
Audi Q5;178.000 km;dic-12;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 15.000;
Audi A1;93.000 km;sep-11;66 kW (90 CV);Manual;Diésel;3,8;Unknown;99 g;€ 8.200;
Audi A3;142.000 km;ene-10;77 kW (105 CV);Automático;Diésel;4,3;BE;112;€ 6.400;
Audi A4;230.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;134;€ 8.100;
