vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A5;149.000 km;ene-10;155 kW (211 CV);Automático;Gasolina;7,5;Unknown;175;€ 12.800;
Audi A4;114.916 km;jul-12;125 kW (170 CV);Manual;Gasolina;6,1;AT;-/- ;€ 14.670;
Audi A4;190.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 10.000;
Audi A6;188.000 km;ago-12;130 kW (177 CV);Automático;Diésel;5,1;Unknown;135;€ 14.300;
Audi A5;133.000 km;feb-10;120 kW (163 CV);Manual;Diésel;5,1;BE;134;€ 13.450;
Audi Q3;156.153 km;abr-12;125 kW (170 CV);Manual;Gasolina;7 l/;NL;174;€ 15.945;
Audi A1;113.800 km;mar-12;63 kW (86 CV);Manual;Gasolina;5,1;DE;121;€ 7.480;
Audi A4;183.000 km;ene-10;125 kW (170 CV);Manual;Diésel;5,5;DE;146;€ 7.750;
Audi A1;190.000 km;ene-11;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 8.495;
Audi A5;85.000 km;jun-11;118 kW (160 CV);Manual;Gasolina;7,4;Unknown;172;€ 18.000;
Audi A6;125.500 km;mar-11;125 kW (170 CV);Automático;Diésel;5,9;DE;154;€ 11.500;
Audi A1;143.916 km;ene-12;90 kW (122 CV);Automático;Gasolina;5,2;NL;119;€ 10.900;
Audi A5;138.000 km;may-10;140 kW (190 CV);Automático;Diésel;5,8;DE;169;€ 11.999;
Audi A3;49.000 km;jun-10;103 kW (140 CV);Manual;Diésel;5,1;DE;135;€ 9.999;
Audi A7;147.000 km;feb-11;180 kW (245 CV);Automático;Diésel;6 l/;BE;158;€ 24.900;
Audi A3;122.800 km;sep-12;77 kW (105 CV);Manual;Diésel;4,2;AT;112;€ 10.990;
Audi A5;130.000 km;nov-11;130 kW (177 CV);Manual;Diésel;4,6;Unknown;120;€ 15.900;
Audi A4;117.161 km;ago-12;105 kW (143 CV);Manual;Diésel;4,5;DE;119;€ 12.950;
Audi A5;161.927 km;abr-12;130 kW (177 CV);Manual;Diésel;4,6;BE;120;€ 12.490;
Audi Q3;74.525 km;abr-12;125 kW (170 CV);Manual;Gasolina;7,3;NL;174;€ 16.950;
Audi A5;214.000 km;may-10;176 kW (239 CV);Automático;Diésel;6,8;Unknown;179;€ 17.995;
Audi Q3;135.467 km;dic-11;125 kW (170 CV);Automático;Gasolina;7,7;Unknown;179;€ 11.300;
Audi A4;118.600 km;nov-11;105 kW (143 CV);Manual;Diésel;4,7;Unknown;124;€ 9.800;
Audi A3;166.978 km;mar-12;77 kW (105 CV);Manual;Gasolina;5,5;DE;127;€ 6.800;
Audi Q5;174.000 km;sep-12;132 kW (179 CV);Manual;Gasolina;7,5;DE;174;€ 11.980;
Audi A7;161.000 km;ene-12;150 kW (204 CV);Automático;Diésel;5,8;Unknown;152;€ 22.000;
Audi A3;186.957 km;abr-10;103 kW (140 CV);Manual;Diésel;4,4;Unknown;115;€ 4.500;
Audi A5;130.000 km;nov-12;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 16.500;
Audi A3;168.481 km;may-10;77 kW (105 CV);Manual;Diésel;4,2;Unknown;112;€ 2.500;
Audi A6;147.135 km;jul-12;150 kW (204 CV);Manual;Diésel;5,3;Unknown;139;€ 11.200;
Audi A4;250.000 km;sep-12;130 kW (177 CV);Automático;Diésel;4,9;Unknown;129;€ 14.000;
Audi A5;108.790 km;ago-10;132 kW (179 CV);Automático;Gasolina;7,4;DE;174;€ 16.990;
Audi A3;114.980 km;jul-11;66 kW (90 CV);Manual;Diésel;4,5;DE;119;€ 9.490;
Audi A4;144.980 km;oct-11;88 kW (120 CV);Manual;Diésel;5,1;DE;135;€ 9.490;
Audi A5;124.980 km;oct-10;176 kW (239 CV);Automático;Diésel;6,6;DE;174;€ 17.490;
Audi A6;71.979 km;jul-12;132 kW (179 CV);Automático;Gasolina;6,5;DE;154;€ 17.990;
Audi A4;129.980 km;ago-11;105 kW (143 CV);Automático;Diésel;6 l/;DE;159;€ 12.990;
Audi A6;164.980 km;jun-12;150 kW (204 CV);Automático;Diésel;5,3;DE;140;€ 14.490;
