vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A5;159.500 km;jun-12;130 kW (177 CV);Manual;Diésel;4,6;ES;-/- ;€ 16.499
Audi A6;199.000 km;abr-12;130 kW (177 CV);Automático;Diésel;5 l/;ES;-/- ;€ 13.900
Audi RS4;48.097 km;dic-12;331 kW (450 CV);Automático;Gasolina;10,7;ES;-/- ;€ 45.000
Audi RS3;112.000 km;abr-12;250 kW (340 CV);Automático;Gasolina;6,8;ES;-/- ;€ 29.120
Audi TT;69.000 km;abr-12;250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 29.800
Audi A7;198.000 km;feb-12;150 kW (204 CV);Automático;Diésel;5,3;ES;-/- ;€ 18.990
Audi Q3;86.749 km;jul-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 17.950
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900
Audi Q5;129.371 km;may-12;176 kW (239 CV);Automático;Diésel;7,5;Unknown;199;€ 13.400
Audi Q3;86.749 km;jul-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 17.950
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900
Audi Q3;86.749 km;jul-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 17.950
Audi Q3;86.749 km;jul-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 17.950
Audi A1;60.506 km;nov-12;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 10.300
Audi A5;145.266 km;mar-12;130 kW (177 CV);Manual;Diésel;4,6;ES;120;€ 16.990
Audi A6;119.999 km;abr-12;130 kW (177 CV);Automático;Diésel;5 l/;ES;-/- ;€ 14.690
Audi Q3;121.600 km;oct-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 15.200
Audi A4;76.600 km;dic-12;105 kW (143 CV);Automático;Diésel;4,8;ES;-/- ;€ 11.990
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900
Audi A7;56.376 km;ene-12;150 kW (204 CV);Automático;Gasolina;8 l/;ES;-/- ;€ 23.800
Audi A4;144.027 km;may-12;105 kW (143 CV);Automático;Diésel;4,7;ES;-/- ;€ 11.900
Audi A1;60.506 km;nov-12;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 10.300
Audi A7;56.376 km;ene-12;150 kW (204 CV);Automático;Gasolina;8 l/;ES;-/- ;€ 23.800
Audi A5;180.000 km;ene-12;150 kW (204 CV);Automático;Diésel;4,9;ES;-/- ;€ 13.900
Audi Q3;121.600 km;oct-12;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 16.800
Audi A1;79.886 km;may-12;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 11.990
Audi A1;106.000 km;may-12;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;116;€ 9.200
