vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW i3;48.530 km;may-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 20.500
BMW i3;12.609 km;jun-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 22.900
BMW M4;44.000 km;may-17;317 kW (431 CV);Automático;Gasolina;8,7;ES;-/- ;€ 67.900
BMW 118;28.850 km;mar-17;100 kW (136 CV);Automático;Gasolina;5 l/;ES;-/- ;€ 21.900
BMW M4;35.482 km;jun-17;317 kW (431 CV);Manual;Gasolina;8,8;ES;-/- ;€ 79.500
BMW X6 M;52.500 km;jun-17;423 kW (575 CV);Automático;Gasolina;11,1;ES;-/- ;€ 85.985
BMW i3;27.832 km;ene-17;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 22.990
BMW 225;67.000 km;ene-17;165 kW (224 CV);Automático;Electro/Gasolina;2 l/;ES;-/- ;€ 21.995
BMW 225;43.722 km;mar-17;165 kW (224 CV);Automático;Electro/Gasolina;-/- ;ES;46 g;€ 22.400
BMW 218;51.925 km;mar-17;100 kW (136 CV);Manual;Gasolina;5,1;ES;-/- ;€ 20.000
BMW 318;88.900 km;abr-17;100 kW (136 CV);Manual;Gasolina;5,1;ES;-/- ;€ 15.990
BMW 120;43.449 km;mar-17;135 kW (184 CV);Manual;Gasolina;5,7;ES;131;€ 23.900
BMW M3;37.000 km;mar-17;331 kW (450 CV);Automático;Gasolina;8,3;ES;194;€ 59.999
BMW 118;56.000 km;dic-17;100 kW (136 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 18.300
BMW;32.500 km;ene-17;448 kW (609 CV);Automático;Gasolina;12,8;ES;-/- ;€ 77.500
BMW 430;81.750 km;abr-17;185 kW (252 CV);Automático;Gasolina;5,9;ES;138;€ 31.500
BMW 330;56.071 km;feb-17;185 kW (252 CV);Automático;Gasolina;6,4;Unknown;147;€ 28.417
BMW X1;70.000 km;ene-17;170 kW (231 CV);Automático;Gasolina;6,4;ES;-/- ;€ 26.800
BMW 430;51.589 km;feb-17;185 kW (252 CV);Automático;Gasolina;5,5;ES;-/- ;€ 33.075
BMW i3;28.000 km;dic-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 23.490
BMW M4;68.500 km;may-17;338 kW (460 CV);Automático;Gasolina;8,4;ES;-/- ;€ 62.490
BMW 440;67.500 km;feb-17;240 kW (326 CV);Automático;Gasolina;7,6;ES;-/- ;€ 38.000
BMW 220;59.000 km;abr-17;141 kW (192 CV);Automático;Gasolina;5,6;ES;130;€ 24.750
