vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;;
Land Rover;159.000 km;oct-12;112 kW (152 CV);Automático;Diésel;-/- ;FR;174;€ 17.990;;;;
Land Rover Freelander;122.691 km;abr-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Defender;155.000 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;Unknown;269;€ 27.500;;;;
Land Rover Defender;155.000 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;Unknown;269;€ 27.500;;;;
Land Rover Range Rover Sport;55.000 km;oct-12;188 kW (256 CV);Automático;Diésel;8,8;AT;230;€ 29.990;;;;
Land Rover Range Rover Evoque;125.000 km;nov-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 16.400;;;;
Land Rover Freelander;153.463 km;jun-12;110 kW (150 CV);Manual;Diésel;6,2;Unknown;165;€ 9.500;;;;
Land Rover Discovery;165.000 km;jul-12;188 kW (256 CV);Automático;Diésel;8,8;ES;-/- ;€ 21.490;;;;
Land Rover Range Rover Evoque;175.000 km;dic-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 19.500;;;;
Land Rover Range Rover Sport;190.000 km;mar-10;180 kW (245 CV);Automático;Diésel;-/- ;DE;-/- ;€ 12.900;;;;
Land Rover Range Rover Evoque;74.320 km;may-12;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 24.500;;;;
Land Rover Range Rover Evoque;127.000 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 18.000;;;;
Land Rover Defender;47.000 km;dic-12;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 44.990;;;;
Land Rover Range Rover Sport;170.000 km;oct-10;375 kW (510 CV);Automático;Gasolina;-/- ;AT;-/- ;€ 18.900;;;;
Land Rover Range Rover Evoque;92.363 km;nov-12;110 kW (150 CV);Automático;Diésel;6,5;NL;174;€ 25.750;;;;
Land Rover Freelander;129.000 km;feb-11;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 13.500;;;;
Land Rover Freelander;139.000 km;dic-10;112 kW (152 CV);Manual;Diésel;6,7;DE;178;€ 7.890;;;;
Land Rover Range Rover Evoque;60.000 km;sep-12;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 14.999;;;;
Land Rover Freelander;144.847 km;may-11;140 kW (190 CV);Automático;Diésel;7 l/;NL;185;€ 12.749;;;;
Land Rover Freelander;220.000 km;nov-11;140 kW (190 CV);Automático;Diésel;7 l/;IT;185;€ 7.600;;;;
Land Rover Range Rover Evoque;137.000 km;ago-12;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 13.900;;;;
Land Rover Range Rover;279.000 km;ene-10;200 kW (272 CV);Automático;Diésel;11,1;Unknown;294;€ 12.490;;;;
Land Rover Defender;128.000 km;ago-12;90 kW (122 CV);Manual;Diésel;10,2;IT;295;€ 34.000;;;;
Land Rover Range Rover Evoque;149.000 km;ene-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 17.400;;;;
Land Rover Range Rover Evoque;160.800 km;mar-12;140 kW (190 CV);Automático;Diésel;6,5;AT;174;€ 18.450;;;;
Land Rover Freelander;163.000 km;abr-12;110 kW (150 CV);Manual;Diésel;6,2;IT;165;€ 8.890;;;;
Land Rover Freelander;163.000 km;abr-12;110 kW (150 CV);Manual;Diésel;6,2;IT;165;€ 8.890;;;;
Land Rover Freelander;163.000 km;abr-12;110 kW (150 CV);Manual;Diésel;6,2;IT;165;€ 8.890;;;;
Land Rover Range Rover Sport;196.500 km;nov-11;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 17.890;;;;
Land Rover Range Rover Evoque;145.000 km;ene-12;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 21.900;;;;
Land Rover Discovery;248.000 km;may-10;140 kW (190 CV);Manual;Diésel;9,2;Unknown;244;€ 12.500;;;;
Land Rover Range Rover Sport;199.700 km;sep-11;180 kW (245 CV);Automático;Diésel;9,2;ES;243;€ 18.900;;;;
Land Rover Range Rover Evoque;105.019 km;sep-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 16.500;;;;
Land Rover Discovery;127.000 km;ene-12;154 kW (209 CV);Automático;Diésel;9,3;Unknown;244;€ 17.400;;;;
Land Rover Range Rover Sport;163.000 km;oct-11;188 kW (256 CV);Automático;Diésel;8,8;IT;230;€ 16.400;;;;
Land Rover Range Rover Sport;168.150 km;jul-12;188 kW (256 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 19.000;;;;
Land Rover Range Rover Evoque;159.616 km;jul-12;177 kW (241 CV);Automático;Gasolina;8,7;NL;199;€ 24.500;;;;
Land Rover Freelander;137.000 km;dic-10;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 9.500;;;;
Land Rover Range Rover Sport;270.000 km;jun-12;183 kW (249 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 9.000;;;;
Land Rover Range Rover Evoque;161.800 km;oct-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 16.800;;;;
Land Rover Range Rover Evoque;128.300 km;nov-12;110 kW (150 CV);Automático;Diésel;5,7;Unknown;149;€ 17.900;;;;
Land Rover Defender;52.110 km;jul-10;90 kW (122 CV);Manual;Diésel;11 l;DE;291;€ 41.800;;;;
Land Rover Defender;96.000 km;jul-10;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 75.000;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Discovery;202.000 km;feb-11;180 kW (245 CV);Automático;Diésel;-/- ;AT;-/- ;€ 17.990;;;;
Land Rover Freelander;168.500 km;jul-11;140 kW (190 CV);Automático;Diésel;7 l/;DE;186;€ 13.999;;;;
Land Rover Freelander;123.800 km;mar-12;110 kW (150 CV);Automático;Diésel;8,5;DE;224;€ 15.800;;;;
Land Rover Range Rover;190.000 km;oct-10;230 kW (313 CV);Automático;Diésel;9,4;DE;253;€ 19.990;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Defender;93.000 km;abr-10;90 kW (122 CV);Manual;Diésel;10 l;IT;266;€ 32.000;;;;
Land Rover Range Rover Evoque;223.000 km;jul-11;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 17.999;;;;
Land Rover Range Rover Evoque;102.000 km;may-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.300;;;;
Land Rover Range Rover Evoque;102.000 km;may-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.300;;;;
Land Rover Range Rover Evoque;104.971 km;feb-12;110 kW (150 CV);Automático;Diésel;6,4;ES;-/- ;€ 16.999;;;;
Land Rover Freelander;177.750 km;dic-12;110 kW (150 CV);Manual;Diésel;6 l/;Unknown;158;€ 8.950;;;;
Land Rover Freelander;149.000 km;jun-11;110 kW (150 CV);Manual;Diésel;6,2;Unknown;165;€ 10.500;;;;
Land Rover Freelander;189.193 km;mar-12;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 8.500;;;;
Land Rover Freelander;137.000 km;oct-10;112 kW (152 CV);Manual;Diésel;6,7;Unknown;179;€ 6.750;;;;
Land Rover Range Rover Evoque;99.875 km;feb-12;110 kW (150 CV);Automático;Diésel;6,5;AT;174;€ 24.500;;;;
Land Rover Range Rover Evoque;122.889 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;BE;149;€ 16.990;;;;
Land Rover Range Rover Evoque;129.000 km;ene-12;140 kW (190 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 16.700;;;;
Land Rover Range Rover Evoque;70.000 km;dic-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 20.500;;;;
Land Rover Freelander;222.315 km;mar-12;140 kW (190 CV);Automático;Diésel;7 l/;DE;185;€ 9.400;;;;
Land Rover Range Rover Sport;154.000 km;may-10;179 kW (243 CV);Automático;Diésel;-/- ;IT;-/- ;€ 13.999;;;;
Land Rover Range Rover;132.900 km;ago-11;230 kW (313 CV);Automático;Diésel;10 l;BE;253;€ 27.900;;;;
